date;Catalonia;House of Representatives;Chanel;Mo Gilligan;air travel;isPartial
2022-01-02;3;0;78;7;8;False
2022-01-09;3;0;68;4;8;False
2022-01-16;3;0;62;2;6;False
2022-01-23;3;0;62;3;7;False
2022-01-30;2;0;72;4;8;False
2022-02-06;3;1;64;21;8;False
2022-02-13;3;0;63;5;8;False
2022-02-20;4;0;66;7;8;False
2022-02-27;4;1;61;3;7;False
2022-03-06;4;0;67;2;8;False
2022-03-13;4;0;63;1;8;False
2022-03-20;4;0;68;2;7;False
2022-03-27;4;0;61;2;8;False
2022-04-03;3;0;58;1;7;False
2022-04-10;4;0;57;1;6;False
2022-04-17;4;0;55;2;7;False
2022-04-24;4;0;55;1;7;False
2022-05-01;5;1;62;1;7;False
2022-05-08;4;0;68;2;8;False
2022-05-15;4;1;65;2;8;False
2022-05-22;5;1;59;4;7;False
2022-05-29;3;0;59;4;8;False
2022-06-05;4;1;63;4;8;False
2022-06-12;5;1;59;6;7;False
2022-06-19;4;1;54;4;7;False
2022-06-26;5;0;57;2;7;False
2022-07-03;4;0;57;2;8;False
2022-07-10;4;0;53;1;8;False
2022-07-17;4;0;53;1;8;False
2022-07-24;4;0;54;1;8;False
2022-07-31;4;0;52;1;7;False
2022-08-07;4;1;59;2;7;False
2022-08-14;3;1;53;1;7;False
2022-08-21;3;0;53;1;6;False
2022-08-28;5;0;60;1;6;False
2022-09-04;4;0;54;1;7;False
2022-09-11;4;1;52;1;6;False
2022-09-18;4;0;61;1;6;False
2022-09-25;4;0;59;1;6;False
2022-10-02;3;0;62;1;6;False
2022-10-09;3;0;62;2;5;False
2022-10-16;3;0;64;1;5;False
2022-10-23;3;0;65;3;5;False
2022-10-30;2;1;68;2;4;False
2022-11-06;3;9;75;6;5;False
2022-11-13;3;11;85;2;4;False
2022-11-20;2;2;96;5;5;False
2022-11-27;2;1;87;2;5;False
2022-12-04;2;2;95;4;4;False
2022-12-11;2;1;93;7;5;False
2022-12-18;3;0;100;4;4;False
2022-12-25;3;0;92;4;6;False
2023-01-01;3;8;67;4;6;False
2023-01-08;4;1;59;5;6;False
2023-01-15;4;0;60;6;6;False
2023-01-22;3;1;57;4;5;False
2023-01-29;3;1;58;3;6;False
