date;DC Comics;Switzerland;Bank of England;Martha Wainwright;air travel;isPartial
2022-01-02;1;24;5;0;4;False
2022-01-09;1;22;5;0;4;False
2022-01-16;1;21;4;0;3;False
2022-01-23;1;21;5;0;3;False
2022-01-30;2;21;12;0;4;False
2022-02-06;1;23;6;0;4;False
2022-02-13;1;23;5;0;4;False
2022-02-20;1;23;5;0;4;False
2022-02-27;1;28;6;0;4;False
2022-03-06;2;20;5;0;4;False
2022-03-13;1;21;10;0;4;False
2022-03-20;1;99;5;0;4;False
2022-03-27;1;29;5;0;4;False
2022-04-03;1;17;5;0;4;False
2022-04-10;1;16;5;0;3;False
2022-04-17;1;18;5;0;3;False
2022-04-24;1;16;6;0;3;False
2022-05-01;1;19;15;0;4;False
2022-05-08;1;20;6;0;4;False
2022-05-15;1;19;9;0;4;False
2022-05-22;1;18;6;0;4;False
2022-05-29;1;18;5;0;4;False
2022-06-05;1;25;6;0;4;False
2022-06-12;1;22;14;0;4;False
2022-06-19;1;18;7;0;3;False
2022-06-26;1;21;6;0;4;False
2022-07-03;1;22;7;0;4;False
2022-07-10;1;21;6;0;4;False
2022-07-17;1;21;7;0;4;False
2022-07-24;1;19;7;0;4;False
2022-07-31;1;18;18;0;3;False
2022-08-07;1;19;8;0;3;False
2022-08-14;1;18;7;0;3;False
2022-08-21;1;18;7;0;3;False
2022-08-28;1;18;8;0;3;False
2022-09-04;1;19;12;0;3;False
2022-09-11;1;18;10;0;3;False
2022-09-18;1;19;17;0;3;False
2022-09-25;1;18;27;0;3;False
2022-10-02;1;17;13;0;3;False
2022-10-09;1;18;15;0;3;False
2022-10-16;2;16;11;0;2;False
2022-10-23;1;16;10;0;2;False
2022-10-30;1;16;21;0;2;False
2022-11-06;1;18;9;0;2;False
2022-11-13;1;21;9;0;2;False
2022-11-20;1;47;7;0;3;False
2022-11-27;1;79;8;0;3;False
2022-12-04;1;100;8;0;2;False
2022-12-11;1;17;15;0;2;False
2022-12-18;1;18;6;0;2;False
2022-12-25;1;20;4;0;3;False
2023-01-01;1;22;8;0;3;False
2023-01-08;3;19;8;0;3;False
2023-01-15;1;19;9;0;3;False
2023-01-22;1;19;9;0;3;False
2023-01-29;1;19;18;0;3;False
