date;Bereavement;US foreign policy;Reading;Romance books;air travel;isPartial
2022-01-02;3;0;60;1;2;False
2022-01-09;3;0;67;0;2;False
2022-01-16;3;0;56;0;1;False
2022-01-23;3;0;61;1;1;False
2022-01-30;4;0;65;0;2;False
2022-02-06;3;0;63;0;2;False
2022-02-13;3;0;58;0;2;False
2022-02-20;3;0;62;0;2;False
2022-02-27;3;0;58;0;1;False
2022-03-06;3;0;61;0;2;False
2022-03-13;3;0;62;0;2;False
2022-03-20;3;0;59;1;1;False
2022-03-27;3;0;100;0;2;False
2022-04-03;3;0;59;0;1;False
2022-04-10;2;0;49;0;1;False
2022-04-17;3;0;54;0;1;False
2022-04-24;3;0;56;0;1;False
2022-05-01;3;0;59;0;1;False
2022-05-08;3;0;58;0;1;False
2022-05-15;3;0;60;0;2;False
2022-05-22;3;0;57;0;1;False
2022-05-29;2;0;50;0;2;False
2022-06-05;3;0;57;0;2;False
2022-06-12;3;0;65;0;2;False
2022-06-19;3;0;60;0;1;False
2022-06-26;3;0;59;0;1;False
2022-07-03;3;0;59;0;2;False
2022-07-10;3;0;60;1;2;False
2022-07-17;3;0;57;1;2;False
2022-07-24;3;0;55;0;2;False
2022-07-31;3;0;56;0;1;False
2022-08-07;3;0;64;1;1;False
2022-08-14;3;0;61;0;1;False
2022-08-21;2;0;91;0;1;False
2022-08-28;2;0;86;0;1;False
2022-09-04;3;0;61;0;1;False
2022-09-11;3;0;64;0;1;False
2022-09-18;3;0;63;0;1;False
2022-09-25;3;0;77;0;1;False
2022-10-02;3;0;69;0;1;False
2022-10-09;3;0;62;0;1;False
2022-10-16;3;0;57;0;1;False
2022-10-23;3;0;54;0;1;False
2022-10-30;3;0;57;0;1;False
2022-11-06;3;0;58;0;1;False
2022-11-13;3;0;59;0;1;False
2022-11-20;3;0;54;0;1;False
2022-11-27;3;0;60;0;1;False
2022-12-04;2;0;62;0;1;False
2022-12-11;3;0;60;0;1;False
2022-12-18;2;0;50;0;1;False
2022-12-25;2;0;51;0;1;False
2023-01-01;3;0;61;1;1;False
2023-01-08;3;0;61;0;1;False
2023-01-15;4;0;62;0;1;False
2023-01-22;4;0;79;0;1;False
2023-01-29;4;0;68;0;1;False
