date;Jeremy Clarkson;Australian books;Jordan;English civil war;air travel;isPartial
2022-01-02;4;0;56;1;2;False
2022-01-09;3;0;53;1;2;False
2022-01-16;2;0;53;0;2;False
2022-01-23;2;0;50;1;2;False
2022-01-30;3;0;49;1;2;False
2022-02-06;2;0;45;0;2;False
2022-02-13;3;0;51;0;2;False
2022-02-20;4;0;50;0;2;False
2022-02-27;2;0;59;0;2;False
2022-03-06;2;0;50;0;2;False
2022-03-13;3;0;50;0;2;False
2022-03-20;2;0;51;0;2;False
2022-03-27;1;0;47;1;2;False
2022-04-03;2;0;57;0;2;False
2022-04-10;3;0;52;0;2;False
2022-04-17;2;0;52;0;2;False
2022-04-24;2;0;47;0;2;False
2022-05-01;2;0;50;0;2;False
2022-05-08;1;0;44;1;2;False
2022-05-15;1;0;50;1;2;False
2022-05-22;2;0;47;0;2;False
2022-05-29;2;0;52;0;2;False
2022-06-05;3;0;50;1;2;False
2022-06-12;2;0;48;1;2;False
2022-06-19;2;0;46;1;2;False
2022-06-26;2;0;52;0;2;False
2022-07-03;2;0;53;0;2;False
2022-07-10;3;0;53;0;2;False
2022-07-17;3;0;52;0;2;False
2022-07-24;2;0;57;0;2;False
2022-07-31;2;0;53;0;2;False
2022-08-07;3;0;47;0;2;False
2022-08-14;4;0;44;0;2;False
2022-08-21;2;0;49;0;2;False
2022-08-28;2;0;52;0;2;False
2022-09-04;3;0;47;1;2;False
2022-09-11;5;0;54;1;2;False
2022-09-18;3;0;50;1;1;False
2022-09-25;5;0;51;1;2;False
2022-10-02;3;0;50;1;1;False
2022-10-09;3;0;63;0;1;False
2022-10-16;3;0;59;1;1;False
2022-10-23;3;0;100;0;1;False
2022-10-30;3;0;55;0;1;False
2022-11-06;2;0;54;0;1;False
2022-11-13;2;0;59;1;1;False
2022-11-20;2;0;62;0;1;False
2022-11-27;2;0;63;0;1;False
2022-12-04;2;0;67;0;1;False
2022-12-11;2;0;71;0;1;False
2022-12-18;46;0;59;0;1;False
2022-12-25;5;0;75;0;1;False
2023-01-01;3;0;58;0;2;False
2023-01-08;5;0;50;0;2;False
2023-01-15;16;0;47;1;2;False
2023-01-22;4;0;50;1;1;False
2023-01-29;4;0;50;1;2;False
