date;World cinema;Rosalía;strikes;Vermont;air travel;isPartial
2023-01-01;1;0;41;1;1;False
2023-01-02;1;0;82;1;1;False
2023-01-03;0;0;100;1;1;False
2023-01-04;0;0;75;1;1;False
2023-01-05;0;0;60;1;1;False
2023-01-06;0;0;44;1;1;False
2023-01-07;1;0;28;1;1;False
2023-01-08;1;0;36;1;1;False
2023-01-09;0;0;47;1;1;False
2023-01-10;1;0;36;1;1;False
2023-01-11;0;0;31;1;1;False
2023-01-12;0;0;30;1;1;False
2023-01-13;1;0;23;1;1;False
2023-01-14;1;0;18;1;1;False
2023-01-15;0;0;20;0;1;False
2023-01-16;0;0;37;1;1;False
2023-01-17;0;0;48;1;1;False
2023-01-18;0;0;38;1;1;False
2023-01-19;0;0;30;1;1;False
2023-01-20;0;0;27;1;1;False
2023-01-21;1;0;19;1;1;False
2023-01-22;0;0;22;0;1;False
2023-01-23;0;0;35;1;1;False
2023-01-24;1;0;33;1;1;False
2023-01-25;0;0;37;1;1;False
2023-01-26;0;0;34;1;1;False
2023-01-27;1;0;30;0;1;False
2023-01-28;1;0;20;1;1;False
2023-01-29;1;0;30;1;1;False
2023-01-30;0;0;67;1;1;False
2023-01-31;0;0;88;1;1;False
