date;Motor sport;nick clegg;Vietnamese food and drink;Michigan;air travel;isPartial
2022-01-02;8;7;0;75;64;False
2022-01-09;9;4;0;82;70;False
2022-01-16;10;6;0;73;55;False
2022-01-23;10;9;0;84;60;False
2022-01-30;9;6;0;80;68;False
2022-02-06;9;4;0;73;68;False
2022-02-13;7;50;0;66;68;False
2022-02-20;7;21;0;74;70;False
2022-02-27;9;16;0;65;61;False
2022-03-06;6;5;0;65;64;False
2022-03-13;9;8;0;75;64;False
2022-03-20;9;4;0;66;62;False
2022-03-27;9;3;0;60;66;False
2022-04-03;9;4;0;68;60;False
2022-04-10;8;4;0;77;52;False
2022-04-17;11;5;0;68;58;False
2022-04-24;9;3;0;59;60;False
2022-05-01;9;6;0;71;62;False
2022-05-08;8;4;0;68;64;False
2022-05-15;8;7;0;67;66;False
2022-05-22;9;4;0;70;63;False
2022-05-29;8;4;0;72;64;False
2022-06-05;8;6;0;76;71;False
2022-06-12;10;4;0;74;62;False
2022-06-19;10;4;0;66;58;False
2022-06-26;8;3;0;70;62;False
2022-07-03;8;9;0;77;66;False
2022-07-10;10;6;0;85;68;False
2022-07-17;6;4;0;72;65;False
2022-07-24;8;4;0;78;64;False
2022-07-31;11;5;0;85;58;False
2022-08-07;8;4;0;75;56;False
2022-08-14;8;3;0;76;55;False
2022-08-21;7;4;0;74;48;False
2022-08-28;8;8;0;85;53;False
2022-09-04;9;11;0;69;57;False
2022-09-11;9;4;0;75;49;False
2022-09-18;6;10;0;77;47;False
2022-09-25;9;10;0;70;49;False
2022-10-02;11;7;0;75;47;False
2022-10-09;9;11;0;75;45;False
2022-10-16;6;12;0;94;41;False
2022-10-23;8;10;0;89;38;False
2022-10-30;8;8;0;83;38;False
2022-11-06;8;5;0;91;42;False
2022-11-13;7;3;0;80;35;False
2022-11-20;10;4;0;80;44;False
2022-11-27;9;4;0;75;43;False
2022-12-04;7;1;0;80;37;False
2022-12-11;6;4;0;71;38;False
2022-12-18;7;2;0;100;35;False
2022-12-25;7;4;0;97;47;False
2023-01-01;11;1;0;93;55;False
2023-01-08;9;1;0;63;50;False
2023-01-15;10;2;0;71;49;False
2023-01-22;8;14;0;75;45;False
2023-01-29;9;4;0;76;49;False
