date;Bill Callahan;John Lewis;Work & careers;Scotland rugby union team;air travel;isPartial
2023-01-01;0;71;0;0;1;False
2023-01-02;0;100;0;0;1;False
2023-01-03;0;70;0;0;1;False
2023-01-04;0;55;0;0;1;False
2023-01-05;0;52;0;0;1;False
2023-01-06;0;64;0;0;1;False
2023-01-07;0;53;0;0;1;False
2023-01-08;0;65;0;0;1;False
2023-01-09;0;45;0;0;1;False
2023-01-10;0;44;0;0;1;False
2023-01-11;0;43;0;0;1;False
2023-01-12;0;42;0;0;1;False
2023-01-13;0;41;0;0;1;False
2023-01-14;0;51;0;0;1;False
2023-01-15;0;54;0;0;1;False
2023-01-16;0;42;0;0;1;False
2023-01-17;0;38;0;0;1;False
2023-01-18;0;38;0;0;1;False
2023-01-19;0;38;0;0;1;False
2023-01-20;0;37;0;0;1;False
2023-01-21;0;49;0;0;1;False
2023-01-22;0;52;0;0;1;False
2023-01-23;0;40;0;0;1;False
2023-01-24;0;36;0;0;1;False
2023-01-25;0;36;0;0;1;False
2023-01-26;0;33;0;0;1;False
2023-01-27;0;34;0;0;1;False
2023-01-28;0;43;0;0;1;False
2023-01-29;0;43;0;0;1;False
2023-01-30;0;36;0;0;1;False
2023-01-31;0;36;0;0;1;False
