date;liverpool fc;gaza;Hamlet;Mauritius;air travel;isPartial
2023-01-01;40;1;7;20;4;False
2023-01-02;100;1;8;22;5;False
2023-01-03;37;1;6;19;3;False
2023-01-04;33;1;7;22;5;False
2023-01-05;30;1;7;20;4;False
2023-01-06;36;2;7;22;4;False
2023-01-07;98;0;7;24;3;False
2023-01-08;42;1;7;26;5;False
2023-01-09;29;1;6;28;3;False
2023-01-10;31;1;8;30;4;False
2023-01-11;32;1;6;25;5;False
2023-01-12;29;1;8;24;4;False
2023-01-13;29;0;8;23;3;False
2023-01-14;89;1;6;21;3;False
2023-01-15;38;1;7;26;4;False
2023-01-16;38;1;7;21;4;False
2023-01-17;84;1;8;20;3;False
2023-01-18;39;1;7;19;4;False
2023-01-19;32;1;8;19;4;False
2023-01-20;34;1;6;18;3;False
2023-01-21;89;1;6;22;3;False
2023-01-22;30;1;6;25;4;False
2023-01-23;34;1;7;21;4;False
2023-01-24;35;0;7;21;3;False
2023-01-25;29;1;8;19;4;False
2023-01-26;29;1;7;17;4;False
2023-01-27;30;3;6;21;3;False
2023-01-28;37;3;9;19;4;False
2023-01-29;98;2;6;23;3;False
2023-01-30;32;1;8;20;6;False
2023-01-31;38;1;7;22;5;False
