date;NBC;china;CBS;Royal Court theatre;air travel;isPartial
2022-01-02;2;51;2;0;2;False
2022-01-09;2;50;2;0;3;False
2022-01-16;2;46;2;0;2;False
2022-01-23;2;51;2;0;2;False
2022-01-30;2;54;2;0;3;False
2022-02-06;2;52;2;0;3;False
2022-02-13;3;47;2;0;3;False
2022-02-20;3;100;3;0;3;False
2022-02-27;3;79;2;0;2;False
2022-03-06;3;63;2;0;2;False
2022-03-13;2;77;2;0;2;False
2022-03-20;2;80;2;0;2;False
2022-03-27;2;53;2;0;3;False
2022-04-03;2;48;3;0;2;False
2022-04-10;2;52;2;0;2;False
2022-04-17;2;51;2;0;2;False
2022-04-24;2;45;2;0;2;False
2022-05-01;2;48;2;0;2;False
2022-05-08;2;61;2;0;2;False
2022-05-15;2;46;2;0;3;False
2022-05-22;2;45;3;0;2;False
2022-05-29;2;44;2;0;2;False
2022-06-05;2;43;2;0;3;False
2022-06-12;3;41;2;0;2;False
2022-06-19;2;43;2;0;2;False
2022-06-26;2;40;3;0;2;False
2022-07-03;2;43;2;0;3;False
2022-07-10;2;42;2;0;3;False
2022-07-17;2;44;2;0;2;False
2022-07-24;2;47;2;0;2;False
2022-07-31;2;75;2;0;2;False
2022-08-07;2;71;2;0;2;False
2022-08-14;2;50;2;0;2;False
2022-08-21;2;44;2;0;2;False
2022-08-28;2;50;2;0;2;False
2022-09-04;4;42;3;0;2;False
2022-09-11;3;47;3;0;2;False
2022-09-18;3;48;3;0;2;False
2022-09-25;2;52;3;0;2;False
2022-10-02;2;44;3;0;2;False
2022-10-09;2;42;3;0;2;False
2022-10-16;2;46;3;0;2;False
2022-10-23;2;46;2;0;1;False
2022-10-30;2;43;3;0;1;False
2022-11-06;3;49;2;0;2;False
2022-11-13;2;48;3;0;1;False
2022-11-20;2;46;2;0;2;False
2022-11-27;2;60;2;0;2;False
2022-12-04;2;43;2;0;1;False
2022-12-11;2;41;2;0;1;False
2022-12-18;2;50;2;0;1;False
2022-12-25;2;61;2;0;2;False
2023-01-01;3;51;3;0;2;False
2023-01-08;2;44;4;0;2;False
2023-01-15;2;49;2;0;2;False
2023-01-22;2;49;2;0;2;False
2023-01-29;2;48;2;0;2;False
