date;banking;Hay fever;wolverhampton;Nice holidays;air travel;isPartial
2022-01-02;81;0;33;0;2;False
2022-01-09;86;0;30;0;3;False
2022-01-16;87;0;30;0;2;False
2022-01-23;91;0;32;0;2;False
2022-01-30;97;1;33;0;3;False
2022-02-06;83;1;31;0;3;False
2022-02-13;76;1;32;0;3;False
2022-02-20;87;1;35;0;3;False
2022-02-27;96;1;32;0;2;False
2022-03-06;86;1;34;0;2;False
2022-03-13;85;2;31;0;2;False
2022-03-20;90;5;33;1;2;False
2022-03-27;93;3;32;1;2;False
2022-04-03;79;2;32;0;2;False
2022-04-10;77;4;30;0;2;False
2022-04-17;80;6;30;1;2;False
2022-04-24;83;4;31;0;2;False
2022-05-01;89;4;33;1;2;False
2022-05-08;81;7;34;1;2;False
2022-05-15;85;6;34;0;2;False
2022-05-22;83;5;33;1;2;False
2022-05-29;85;5;32;1;2;False
2022-06-05;78;9;33;1;3;False
2022-06-12;79;22;33;1;2;False
2022-06-19;86;11;34;0;2;False
2022-06-26;98;6;33;1;2;False
2022-07-03;81;5;32;1;2;False
2022-07-10;96;5;35;1;3;False
2022-07-17;87;3;36;1;2;False
2022-07-24;99;2;37;0;2;False
2022-07-31;91;1;37;0;2;False
2022-08-07;83;2;34;0;2;False
2022-08-14;80;1;35;1;2;False
2022-08-21;98;1;34;0;2;False
2022-08-28;90;1;35;0;2;False
2022-09-04;89;1;38;0;2;False
2022-09-11;92;1;32;0;2;False
2022-09-18;88;1;32;0;2;False
2022-09-25;93;1;33;0;2;False
2022-10-02;92;1;35;0;2;False
2022-10-09;97;0;33;0;2;False
2022-10-16;89;0;34;0;2;False
2022-10-23;93;0;33;0;1;False
2022-10-30;98;0;32;0;1;False
2022-11-06;94;0;34;0;2;False
2022-11-13;90;0;30;0;1;False
2022-11-20;88;0;27;0;2;False
2022-11-27;100;0;29;0;2;False
2022-12-04;79;0;36;0;1;False
2022-12-11;96;0;30;0;1;False
2022-12-18;90;0;32;0;1;False
2022-12-25;65;0;33;0;2;False
2023-01-01;84;0;33;1;2;False
2023-01-08;82;0;30;1;2;False
2023-01-15;89;0;35;1;2;False
2023-01-22;93;0;34;1;2;False
2023-01-29;90;0;36;1;2;False
