date;church of england;NatWest Group;Benjamin Netanyahu;Ana de Armas;air travel;isPartial
2022-01-02;52;7;1;25;38;False
2022-01-09;50;6;0;21;41;False
2022-01-16;50;8;0;53;32;False
2022-01-23;50;8;1;40;35;False
2022-01-30;53;7;1;17;40;False
2022-02-06;53;7;1;20;40;False
2022-02-13;43;8;0;22;40;False
2022-02-20;47;6;0;28;41;False
2022-02-27;50;8;1;23;36;False
2022-03-06;55;8;1;26;38;False
2022-03-13;49;7;1;45;38;False
2022-03-20;48;6;1;80;37;False
2022-03-27;47;6;1;38;39;False
2022-04-03;44;7;0;33;36;False
2022-04-10;48;5;1;37;31;False
2022-04-17;52;5;1;33;34;False
2022-04-24;50;5;0;31;35;False
2022-05-01;47;6;1;34;36;False
2022-05-08;50;6;1;26;38;False
2022-05-15;51;8;0;21;39;False
2022-05-22;49;6;0;32;37;False
2022-05-29;41;5;1;21;38;False
2022-06-05;48;6;0;25;42;False
2022-06-12;44;6;2;51;37;False
2022-06-19;49;6;2;29;34;False
2022-06-26;51;7;1;25;37;False
2022-07-03;46;5;0;18;39;False
2022-07-10;57;5;1;45;40;False
2022-07-17;42;6;2;59;38;False
2022-07-24;35;9;0;92;38;False
2022-07-31;33;9;1;58;34;False
2022-08-07;31;6;1;35;33;False
2022-08-14;31;6;0;28;32;False
2022-08-21;36;6;0;22;28;False
2022-08-28;39;5;1;26;31;False
2022-09-04;99;7;0;36;33;False
2022-09-11;77;8;0;34;29;False
2022-09-18;99;6;0;57;28;False
2022-09-25;54;8;2;100;29;False
2022-10-02;57;7;0;67;27;False
2022-10-09;48;7;0;35;26;False
2022-10-16;47;7;1;25;24;False
2022-10-23;38;8;2;20;22;False
2022-10-30;49;7;9;18;22;False
2022-11-06;49;6;2;23;25;False
2022-11-13;48;7;1;17;21;False
2022-11-20;49;6;1;17;26;False
2022-11-27;48;5;1;17;25;False
2022-12-04;45;8;2;16;22;False
2022-12-11;41;6;2;23;22;False
2022-12-18;47;5;2;65;21;False
2022-12-25;31;4;2;83;27;False
2023-01-01;49;6;2;63;32;False
2023-01-08;53;6;1;44;30;False
2023-01-15;67;7;1;27;29;False
2023-01-22;54;8;2;31;27;False
2023-01-29;52;7;2;22;29;False
