date;Florence holidays;Nomadland;Japan disaster;Azealia Banks;air travel;isPartial
2022-01-02;7;34;3;12;90;False
2022-01-09;7;20;1;11;98;False
2022-01-16;8;26;0;19;77;False
2022-01-23;9;18;0;13;84;False
2022-01-30;4;15;2;7;95;False
2022-02-06;4;15;1;16;96;False
2022-02-13;5;13;1;18;96;False
2022-02-20;6;13;3;8;98;False
2022-02-27;6;9;5;8;86;False
2022-03-06;8;15;2;8;90;False
2022-03-13;6;8;4;6;90;False
2022-03-20;9;10;1;6;88;False
2022-03-27;7;11;2;7;93;False
2022-04-03;7;6;1;20;85;False
2022-04-10;8;8;1;13;74;False
2022-04-17;9;3;1;4;82;False
2022-04-24;9;8;3;9;84;False
2022-05-01;8;13;2;11;87;False
2022-05-08;6;6;2;9;89;False
2022-05-15;6;8;1;15;93;False
2022-05-22;6;4;3;12;88;False
2022-05-29;7;6;0;11;90;False
2022-06-05;8;5;2;14;100;False
2022-06-12;6;10;1;81;87;False
2022-06-19;6;6;0;10;81;False
2022-06-26;6;5;1;10;87;False
2022-07-03;7;5;1;7;92;False
2022-07-10;8;6;1;6;95;False
2022-07-17;10;4;1;3;91;False
2022-07-24;9;6;5;5;90;False
2022-07-31;8;10;2;6;81;False
2022-08-07;6;3;0;10;78;False
2022-08-14;8;5;2;6;77;False
2022-08-21;9;7;0;10;67;False
2022-08-28;8;5;1;7;74;False
2022-09-04;9;4;0;11;80;False
2022-09-11;5;6;2;13;69;False
2022-09-18;6;5;2;6;66;False
2022-09-25;6;8;1;7;68;False
2022-10-02;5;4;2;12;65;False
2022-10-09;5;5;2;8;63;False
2022-10-16;5;7;1;10;57;False
2022-10-23;7;3;1;8;53;False
2022-10-30;7;4;2;21;53;False
2022-11-06;5;5;1;10;59;False
2022-11-13;5;4;2;7;50;False
2022-11-20;5;3;1;10;62;False
2022-11-27;5;6;2;7;61;False
2022-12-04;2;4;3;9;52;False
2022-12-11;0;4;1;26;53;False
2022-12-18;6;7;2;20;50;False
2022-12-25;8;11;0;8;66;False
2023-01-01;12;7;0;10;77;False
2023-01-08;14;5;1;6;71;False
2023-01-15;9;14;1;14;69;False
2023-01-22;10;18;2;13;64;False
2023-01-29;10;10;1;7;69;False
