date;rail strikes;marilyn manson;podcasts;Durham University;air travel;isPartial
2022-01-02;0;3;21;7;8;False
2022-01-09;0;3;23;8;10;False
2022-01-16;0;3;21;8;7;False
2022-01-23;0;7;20;9;8;False
2022-01-30;0;3;22;9;9;False
2022-02-06;0;3;20;8;9;False
2022-02-13;0;3;19;7;9;False
2022-02-20;0;3;19;8;9;False
2022-02-27;1;4;17;7;8;False
2022-03-06;0;9;18;8;9;False
2022-03-13;0;7;17;8;8;False
2022-03-20;0;6;18;8;8;False
2022-03-27;0;4;17;8;9;False
2022-04-03;0;3;18;8;8;False
2022-04-10;0;4;17;7;7;False
2022-04-17;0;7;16;6;8;False
2022-04-24;0;9;17;9;8;False
2022-05-01;0;7;18;8;8;False
2022-05-08;0;5;19;8;8;False
2022-05-15;4;9;17;7;9;False
2022-05-22;9;5;18;6;8;False
2022-05-29;9;6;16;6;8;False
2022-06-05;27;4;17;8;9;False
2022-06-12;46;4;17;10;9;False
2022-06-19;54;3;16;9;8;False
2022-06-26;23;5;18;7;8;False
2022-07-03;10;3;18;7;9;False
2022-07-10;22;2;18;6;9;False
2022-07-17;22;3;16;5;9;False
2022-07-24;45;3;19;6;9;False
2022-07-31;26;4;19;5;8;False
2022-08-07;39;8;17;5;7;False
2022-08-14;42;3;18;9;7;False
2022-08-21;26;4;19;7;6;False
2022-08-28;27;3;19;7;7;False
2022-09-04;29;2;19;9;8;False
2022-09-11;14;2;19;10;7;False
2022-09-18;27;3;18;10;6;False
2022-09-25;42;3;21;10;6;False
2022-10-02;62;3;20;11;6;False
2022-10-09;31;4;22;10;6;False
2022-10-16;33;2;19;8;5;False
2022-10-23;42;3;18;9;5;False
2022-10-30;79;2;19;8;5;False
2022-11-06;32;3;19;8;6;False
2022-11-13;23;2;18;8;5;False
2022-11-20;70;2;16;6;6;False
2022-11-27;58;2;17;8;6;False
2022-12-04;98;2;14;6;5;False
2022-12-11;100;2;15;6;5;False
2022-12-18;49;2;14;4;5;False
2022-12-25;41;3;15;3;6;False
2023-01-01;63;6;22;6;7;False
2023-01-08;32;6;20;7;7;False
2023-01-15;30;4;21;8;7;False
2023-01-22;28;3;20;8;6;False
2023-01-29;38;5;19;8;6;False
