date;defence;Theme parks;Ethics;Fashion photography;air travel;isPartial
2022-01-02;51;6;20;1;11;False
2022-01-09;59;8;23;1;12;False
2022-01-16;60;6;21;1;9;False
2022-01-23;59;7;23;1;10;False
2022-01-30;58;7;22;1;12;False
2022-02-06;53;7;21;1;12;False
2022-02-13;55;8;20;1;12;False
2022-02-20;89;8;21;1;12;False
2022-02-27;100;7;23;1;11;False
2022-03-06;78;7;24;1;11;False
2022-03-13;76;8;26;1;11;False
2022-03-20;87;9;26;1;11;False
2022-03-27;65;8;23;1;11;False
2022-04-03;56;9;21;1;10;False
2022-04-10;50;14;17;1;9;False
2022-04-17;53;10;19;1;10;False
2022-04-24;56;10;23;1;10;False
2022-05-01;54;10;24;1;11;False
2022-05-08;58;9;25;1;11;False
2022-05-15;61;9;24;1;11;False
2022-05-22;58;11;20;1;11;False
2022-05-29;50;14;15;1;11;False
2022-06-05;52;9;19;0;12;False
2022-06-12;51;9;25;1;11;False
2022-06-19;55;9;16;1;10;False
2022-06-26;55;9;15;0;11;False
2022-07-03;58;11;14;0;11;False
2022-07-10;53;12;14;1;12;False
2022-07-17;54;14;11;1;11;False
2022-07-24;52;15;12;1;11;False
2022-07-31;49;15;12;0;10;False
2022-08-07;46;15;12;1;10;False
2022-08-14;46;13;10;0;9;False
2022-08-21;53;13;11;0;8;False
2022-08-28;46;10;12;0;9;False
2022-09-04;52;6;16;1;10;False
2022-09-11;53;6;16;1;8;False
2022-09-18;53;6;16;1;8;False
2022-09-25;54;6;20;1;8;False
2022-10-02;52;5;21;1;8;False
2022-10-09;59;5;24;1;8;False
2022-10-16;58;6;21;1;7;False
2022-10-23;55;7;18;1;7;False
2022-10-30;52;5;24;1;6;False
2022-11-06;58;4;24;1;7;False
2022-11-13;59;3;24;1;6;False
2022-11-20;53;3;22;1;8;False
2022-11-27;53;3;25;1;7;False
2022-12-04;50;3;23;1;6;False
2022-12-11;50;3;20;1;7;False
2022-12-18;44;3;12;1;6;False
2022-12-25;38;6;10;0;8;False
2023-01-01;47;7;19;1;9;False
2023-01-08;56;6;22;1;9;False
2023-01-15;69;7;22;1;8;False
2023-01-22;60;6;22;1;8;False
2023-01-29;61;5;23;1;8;False
