date;Rian Johnson;Leeds United;Siblings;Flight of the Conchords;air travel;isPartial
2022-01-02;0;47;6;0;3;False
2022-01-09;0;46;7;0;3;False
2022-01-16;0;61;6;0;2;False
2022-01-23;0;36;7;0;3;False
2022-01-30;0;40;7;0;3;False
2022-02-06;0;46;7;0;3;False
2022-02-13;0;22;6;0;3;False
2022-02-20;0;100;6;0;3;False
2022-02-27;0;56;6;0;3;False
2022-03-06;0;44;6;0;3;False
2022-03-13;0;62;6;0;3;False
2022-03-20;0;23;6;0;3;False
2022-03-27;0;33;7;0;3;False
2022-04-03;0;39;7;0;3;False
2022-04-10;0;30;9;0;2;False
2022-04-17;0;28;7;0;3;False
2022-04-24;0;57;6;0;3;False
2022-05-01;0;33;6;0;3;False
2022-05-08;0;69;7;0;3;False
2022-05-15;0;53;7;0;3;False
2022-05-22;0;62;6;0;3;False
2022-05-29;0;31;8;0;3;False
2022-06-05;0;33;7;0;3;False
2022-06-12;0;40;6;0;3;False
2022-06-19;0;40;6;0;3;False
2022-06-26;0;46;6;0;3;False
2022-07-03;0;56;7;0;3;False
2022-07-10;0;54;7;0;3;False
2022-07-17;0;55;6;0;3;False
2022-07-24;0;50;6;0;3;False
2022-07-31;0;72;7;0;3;False
2022-08-07;0;67;7;0;3;False
2022-08-14;0;47;6;0;2;False
2022-08-21;0;99;6;0;2;False
2022-08-28;0;86;5;0;2;False
2022-09-04;0;27;10;0;3;False
2022-09-11;0;29;10;0;2;False
2022-09-18;0;22;10;0;2;False
2022-09-25;0;23;7;0;2;False
2022-10-02;0;38;6;0;2;False
2022-10-09;0;39;6;0;2;False
2022-10-16;0;68;6;0;2;False
2022-10-23;0;73;6;0;2;False
2022-10-30;0;46;6;0;2;False
2022-11-06;0;53;7;0;2;False
2022-11-13;0;19;6;0;2;False
2022-11-20;0;13;6;0;2;False
2022-11-27;0;14;6;0;2;False
2022-12-04;0;17;6;0;2;False
2022-12-11;0;22;6;0;2;False
2022-12-18;1;25;6;0;2;False
2022-12-25;3;72;7;0;2;False
2023-01-01;1;50;6;0;2;False
2023-01-08;0;77;6;0;2;False
2023-01-15;0;55;6;0;2;False
2023-01-22;0;69;6;0;2;False
2023-01-29;0;47;6;0;2;False
