date;X;Environment Agency;Edinburgh holidays;Horses;air travel;isPartial
2022-01-02;90;1;1;12;1;False
2022-01-09;88;1;1;11;1;False
2022-01-16;82;1;1;12;1;False
2022-01-23;95;1;1;13;1;False
2022-01-30;93;1;1;11;1;False
2022-02-06;86;1;1;12;1;False
2022-02-13;83;1;1;11;1;False
2022-02-20;96;2;1;12;1;False
2022-02-27;85;1;0;11;1;False
2022-03-06;86;1;1;12;1;False
2022-03-13;90;1;1;16;1;False
2022-03-20;100;1;1;12;1;False
2022-03-27;87;1;1;14;1;False
2022-04-03;87;1;1;34;1;False
2022-04-10;90;0;1;18;1;False
2022-04-17;88;1;1;15;1;False
2022-04-24;84;1;1;14;1;False
2022-05-01;94;1;1;14;1;False
2022-05-08;83;1;1;13;1;False
2022-05-15;86;1;1;12;1;False
2022-05-22;80;1;1;13;1;False
2022-05-29;86;0;1;14;1;False
2022-06-05;85;1;1;12;1;False
2022-06-12;87;0;1;14;1;False
2022-06-19;79;1;1;12;1;False
2022-06-26;83;1;1;11;1;False
2022-07-03;77;1;1;11;1;False
2022-07-10;82;1;1;12;1;False
2022-07-17;76;1;1;12;1;False
2022-07-24;76;1;1;12;1;False
2022-07-31;78;1;1;12;1;False
2022-08-07;75;1;1;11;1;False
2022-08-14;73;1;1;11;1;False
2022-08-21;82;1;1;12;1;False
2022-08-28;84;1;1;12;1;False
2022-09-04;79;1;1;12;1;False
2022-09-11;81;1;1;13;1;False
2022-09-18;96;1;1;14;1;False
2022-09-25;85;1;1;11;1;False
2022-10-02;82;1;1;11;1;False
2022-10-09;85;1;1;12;1;False
2022-10-16;83;1;1;12;1;False
2022-10-23;92;1;1;12;1;False
2022-10-30;89;1;0;11;1;False
2022-11-06;89;1;1;12;1;False
2022-11-13;82;1;0;12;1;False
2022-11-20;92;1;0;10;1;False
2022-11-27;88;1;0;12;1;False
2022-12-04;86;1;0;14;1;False
2022-12-11;83;0;0;12;1;False
2022-12-18;89;0;0;14;1;False
2022-12-25;88;0;1;17;1;False
2023-01-01;89;1;1;15;1;False
2023-01-08;84;2;1;13;1;False
2023-01-15;88;1;1;13;1;False
2023-01-22;90;1;1;13;1;False
2023-01-29;95;1;1;14;1;False
