date;Romeo and Juliet;Plane crashes;Sebastian Coe;Genetics;air travel;isPartial
2022-01-02;34;2;0;22;23;False
2022-01-09;42;3;0;27;27;False
2022-01-16;45;2;0;25;20;False
2022-01-23;44;2;1;25;22;False
2022-01-30;44;2;1;23;25;False
2022-02-06;46;2;1;23;25;False
2022-02-13;45;2;0;21;25;False
2022-02-20;40;4;1;23;25;False
2022-02-27;47;2;1;23;22;False
2022-03-06;44;2;1;22;23;False
2022-03-13;45;1;2;23;23;False
2022-03-20;42;17;2;22;23;False
2022-03-27;45;3;0;24;24;False
2022-04-03;34;3;1;22;22;False
2022-04-10;26;2;1;21;19;False
2022-04-17;35;2;0;21;21;False
2022-04-24;46;2;1;22;22;False
2022-05-01;41;2;0;26;23;False
2022-05-08;47;3;0;24;23;False
2022-05-15;43;44;0;24;24;False
2022-05-22;53;2;0;21;23;False
2022-05-29;35;6;1;19;23;False
2022-06-05;73;2;4;19;26;False
2022-06-12;37;3;0;21;23;False
2022-06-19;36;3;1;18;21;False
2022-06-26;32;3;0;20;23;False
2022-07-03;26;3;0;18;24;False
2022-07-10;31;3;0;19;25;False
2022-07-17;21;7;2;18;23;False
2022-07-24;20;3;1;17;23;False
2022-07-31;15;5;1;18;21;False
2022-08-07;20;3;1;18;20;False
2022-08-14;14;3;1;16;20;False
2022-08-21;20;3;1;18;17;False
2022-08-28;22;3;0;16;19;False
2022-09-04;27;15;0;18;21;False
2022-09-11;29;3;0;18;18;False
2022-09-18;29;4;4;21;18;False
2022-09-25;29;3;1;20;18;False
2022-10-02;27;2;0;22;17;False
2022-10-09;33;2;0;24;17;False
2022-10-16;33;3;0;23;15;False
2022-10-23;24;6;0;20;14;False
2022-10-30;30;2;0;22;14;False
2022-11-06;35;7;1;23;15;False
2022-11-13;29;2;1;23;13;False
2022-11-20;26;4;0;20;16;False
2022-11-27;29;1;0;20;16;False
2022-12-04;29;2;1;19;13;False
2022-12-11;27;1;0;17;14;False
2022-12-18;19;1;1;16;13;False
2022-12-25;19;2;1;14;17;False
2023-01-01;100;2;0;20;20;False
2023-01-08;42;3;0;23;18;False
2023-01-15;41;8;0;24;18;False
2023-01-22;46;2;1;25;17;False
2023-01-29;42;2;0;23;18;False
