date;Alcoholism;Animation on TV;North of England;Disability;air travel;isPartial
2022-01-02;27;1;38;0;90;False
2022-01-09;30;0;47;0;98;False
2022-01-16;28;1;36;0;77;False
2022-01-23;19;1;40;0;84;False
2022-01-30;27;0;39;0;95;False
2022-02-06;28;0;40;0;96;False
2022-02-13;20;1;47;0;96;False
2022-02-20;22;1;44;0;98;False
2022-02-27;30;0;31;0;86;False
2022-03-06;26;0;38;0;90;False
2022-03-13;26;0;43;0;90;False
2022-03-20;29;1;48;0;88;False
2022-03-27;23;0;41;0;93;False
2022-04-03;28;0;38;0;85;False
2022-04-10;24;0;35;0;74;False
2022-04-17;25;0;38;0;82;False
2022-04-24;24;0;40;0;84;False
2022-05-01;32;2;44;0;87;False
2022-05-08;30;0;35;0;89;False
2022-05-15;26;0;40;0;93;False
2022-05-22;29;0;46;0;88;False
2022-05-29;24;3;35;0;90;False
2022-06-05;30;0;37;0;100;False
2022-06-12;22;0;41;0;87;False
2022-06-19;22;0;39;0;81;False
2022-06-26;17;0;38;0;87;False
2022-07-03;23;0;40;0;92;False
2022-07-10;20;0;38;0;95;False
2022-07-17;23;0;47;0;91;False
2022-07-24;27;0;38;0;90;False
2022-07-31;32;0;40;0;81;False
2022-08-07;27;0;42;0;78;False
2022-08-14;23;0;36;0;77;False
2022-08-21;24;2;39;0;67;False
2022-08-28;24;1;39;0;74;False
2022-09-04;23;0;39;0;80;False
2022-09-11;25;1;43;0;69;False
2022-09-18;18;0;43;0;66;False
2022-09-25;27;0;39;0;68;False
2022-10-02;20;1;32;0;65;False
2022-10-09;23;0;42;0;63;False
2022-10-16;26;0;34;0;57;False
2022-10-23;29;0;32;0;53;False
2022-10-30;22;0;39;0;53;False
2022-11-06;24;1;33;0;59;False
2022-11-13;29;0;36;0;50;False
2022-11-20;24;1;35;0;62;False
2022-11-27;25;1;31;0;61;False
2022-12-04;25;1;36;0;52;False
2022-12-11;24;2;28;0;53;False
2022-12-18;25;1;25;0;50;False
2022-12-25;25;1;33;0;66;False
2023-01-01;31;2;35;0;77;False
2023-01-08;30;0;38;0;71;False
2023-01-15;24;2;37;0;69;False
2023-01-22;27;0;42;0;64;False
2023-01-29;20;1;34;0;69;False
