date;David Attenborough;Jonathan Glazer;lucy letby;vaping;air travel;isPartial
2022-01-02;19;0;0;15;7;False
2022-01-09;24;0;0;14;8;False
2022-01-16;18;0;0;15;6;False
2022-01-23;18;0;1;15;7;False
2022-01-30;20;0;0;17;8;False
2022-02-06;17;0;0;16;8;False
2022-02-13;10;0;0;13;8;False
2022-02-20;10;0;0;14;8;False
2022-02-27;8;0;0;14;7;False
2022-03-06;7;0;0;15;7;False
2022-03-13;8;0;0;16;7;False
2022-03-20;10;0;0;16;7;False
2022-03-27;10;0;1;15;7;False
2022-04-03;10;0;0;15;7;False
2022-04-10;20;0;1;15;6;False
2022-04-17;17;0;0;15;6;False
2022-04-24;9;0;0;15;7;False
2022-05-01;11;0;0;18;7;False
2022-05-08;19;0;0;17;7;False
2022-05-15;10;0;0;18;7;False
2022-05-22;11;0;1;17;7;False
2022-05-29;18;0;0;16;7;False
2022-06-05;30;0;1;19;8;False
2022-06-12;15;0;0;19;7;False
2022-06-19;9;0;0;19;6;False
2022-06-26;7;0;0;17;7;False
2022-07-03;9;0;0;18;7;False
2022-07-10;10;0;0;18;8;False
2022-07-17;6;0;0;16;7;False
2022-07-24;6;0;1;18;7;False
2022-07-31;6;0;0;18;6;False
2022-08-07;7;0;0;17;6;False
2022-08-14;6;0;0;16;6;False
2022-08-21;7;0;1;17;5;False
2022-08-28;8;0;0;17;6;False
2022-09-04;32;0;0;17;6;False
2022-09-11;41;0;0;19;5;False
2022-09-18;28;0;0;16;5;False
2022-09-25;13;0;1;20;5;False
2022-10-02;12;0;6;17;5;False
2022-10-09;13;0;100;17;5;False
2022-10-16;19;0;22;20;5;False
2022-10-23;10;0;14;20;4;False
2022-10-30;7;0;12;19;4;False
2022-11-06;8;0;9;18;5;False
2022-11-13;8;0;11;17;4;False
2022-11-20;10;0;6;16;5;False
2022-11-27;8;0;7;17;5;False
2022-12-04;8;0;5;15;4;False
2022-12-11;7;0;5;15;4;False
2022-12-18;9;0;4;16;4;False
2022-12-25;18;0;1;15;5;False
2023-01-01;10;0;2;20;6;False
2023-01-08;7;0;3;20;6;False
2023-01-15;13;0;4;21;5;False
2023-01-22;12;0;6;20;5;False
2023-01-29;8;0;4;21;5;False
