date;Girls;Data protection;Family law;Manly Sea Eagles;air travel;isPartial
2022-01-02;86;2;1;0;1;False
2022-01-09;80;2;2;0;2;False
2022-01-16;76;2;1;0;1;False
2022-01-23;78;2;1;0;1;False
2022-01-30;84;2;1;0;1;False
2022-02-06;77;2;1;0;1;False
2022-02-13;73;2;1;0;1;False
2022-02-20;81;2;1;0;2;False
2022-02-27;80;2;1;0;1;False
2022-03-06;72;2;1;0;1;False
2022-03-13;75;2;1;0;1;False
2022-03-20;81;2;1;0;1;False
2022-03-27;78;2;1;0;1;False
2022-04-03;76;2;1;0;1;False
2022-04-10;94;2;1;0;1;False
2022-04-17;91;2;1;0;1;False
2022-04-24;83;2;1;0;1;False
2022-05-01;90;2;1;0;1;False
2022-05-08;81;2;1;0;1;False
2022-05-15;100;2;1;0;1;False
2022-05-22;84;2;1;0;1;False
2022-05-29;78;1;1;0;1;False
2022-06-05;84;2;1;0;2;False
2022-06-12;76;2;1;0;1;False
2022-06-19;73;2;1;0;1;False
2022-06-26;84;2;1;0;1;False
2022-07-03;80;2;1;0;1;False
2022-07-10;79;2;1;0;1;False
2022-07-17;75;2;1;0;1;False
2022-07-24;83;2;1;0;1;False
2022-07-31;80;2;1;0;1;False
2022-08-07;81;2;1;0;1;False
2022-08-14;75;2;1;0;1;False
2022-08-21;83;2;1;0;1;False
2022-08-28;91;2;1;0;1;False
2022-09-04;85;2;1;0;1;False
2022-09-11;86;2;1;0;1;False
2022-09-18;83;2;1;0;1;False
2022-09-25;90;2;1;0;1;False
2022-10-02;86;2;1;0;1;False
2022-10-09;88;2;1;0;1;False
2022-10-16;85;2;1;0;1;False
2022-10-23;82;2;1;0;1;False
2022-10-30;79;2;1;0;1;False
2022-11-06;90;2;1;0;1;False
2022-11-13;94;2;1;0;1;False
2022-11-20;94;2;1;0;1;False
2022-11-27;92;2;1;0;1;False
2022-12-04;91;2;1;0;1;False
2022-12-11;89;2;1;0;1;False
2022-12-18;79;1;1;0;1;False
2022-12-25;77;1;1;0;1;False
2023-01-01;79;2;1;0;1;False
2023-01-08;69;2;1;0;1;False
2023-01-15;72;2;1;0;1;False
2023-01-22;74;2;1;0;1;False
2023-01-29;75;2;1;0;1;False
