date;Williams;ezra miller;Migration;rod stewart;air travel;isPartial
2022-01-02;63;0;2;2;2;False
2022-01-09;40;0;3;3;2;False
2022-01-16;34;0;3;3;1;False
2022-01-23;35;0;3;3;1;False
2022-01-30;52;0;3;2;2;False
2022-02-06;38;0;2;2;2;False
2022-02-13;33;0;2;2;2;False
2022-02-20;32;0;2;1;2;False
2022-02-27;30;0;3;2;2;False
2022-03-06;31;0;3;2;2;False
2022-03-13;35;0;3;4;2;False
2022-03-20;34;0;3;2;2;False
2022-03-27;40;3;3;2;2;False
2022-04-03;34;4;2;2;1;False
2022-04-10;31;2;2;1;1;False
2022-04-17;36;6;2;1;1;False
2022-04-24;38;2;3;2;1;False
2022-05-01;34;1;3;2;2;False
2022-05-08;38;1;3;1;2;False
2022-05-15;31;1;3;2;2;False
2022-05-22;30;1;2;1;2;False
2022-05-29;36;1;2;19;2;False
2022-06-05;36;2;3;10;2;False
2022-06-12;42;9;3;2;2;False
2022-06-19;40;7;2;2;1;False
2022-06-26;100;3;2;2;2;False
2022-07-03;41;3;2;1;2;False
2022-07-10;36;1;2;1;2;False
2022-07-17;33;1;2;1;2;False
2022-07-24;34;1;2;2;2;False
2022-07-31;35;2;2;1;1;False
2022-08-07;41;6;2;1;1;False
2022-08-14;38;5;2;2;1;False
2022-08-21;32;1;2;2;1;False
2022-08-28;50;1;2;2;1;False
2022-09-04;41;0;3;2;1;False
2022-09-11;33;1;2;2;1;False
2022-09-18;37;1;2;1;1;False
2022-09-25;47;1;2;1;1;False
2022-10-02;43;0;3;2;1;False
2022-10-09;36;1;3;2;1;False
2022-10-16;36;2;3;2;1;False
2022-10-23;35;1;3;2;1;False
2022-10-30;32;0;3;3;1;False
2022-11-06;33;0;3;2;1;False
2022-11-13;37;0;3;3;1;False
2022-11-20;36;0;3;3;1;False
2022-11-27;37;0;3;4;1;False
2022-12-04;31;0;3;4;1;False
2022-12-11;30;0;2;3;1;False
2022-12-18;32;0;2;3;1;False
2022-12-25;32;1;1;2;1;False
2023-01-01;35;1;2;11;1;False
2023-01-08;33;1;3;5;1;False
2023-01-15;38;1;3;2;1;False
2023-01-22;32;0;3;5;1;False
2023-01-29;31;1;3;2;1;False
