date;alexei navalny;Brooklyn subway shooting;Costa Rica holidays;Guernsey;air travel;isPartial
2022-01-02;1;0;9;52;30;False
2022-01-09;0;0;10;54;33;False
2022-01-16;1;0;6;52;25;False
2022-01-23;1;0;8;57;28;False
2022-01-30;1;0;7;56;32;False
2022-02-06;1;1;8;53;32;False
2022-02-13;2;0;7;57;32;False
2022-02-20;11;0;7;56;33;False
2022-02-27;16;0;7;49;29;False
2022-03-06;7;0;5;59;30;False
2022-03-13;6;0;5;55;30;False
2022-03-20;10;0;5;59;29;False
2022-03-27;2;0;6;54;31;False
2022-04-03;2;0;6;56;28;False
2022-04-10;2;7;6;66;24;False
2022-04-17;2;0;7;56;27;False
2022-04-24;11;0;5;70;28;False
2022-05-01;5;0;5;63;29;False
2022-05-08;3;0;6;67;30;False
2022-05-15;2;0;7;64;31;False
2022-05-22;3;0;4;64;29;False
2022-05-29;1;0;4;64;30;False
2022-06-05;1;0;5;78;33;False
2022-06-12;2;0;4;71;29;False
2022-06-19;1;0;5;83;27;False
2022-06-26;1;0;4;78;29;False
2022-07-03;1;0;5;75;31;False
2022-07-10;1;0;5;75;32;False
2022-07-17;1;0;5;76;30;False
2022-07-24;1;1;5;81;30;False
2022-07-31;1;0;5;97;27;False
2022-08-07;1;0;6;82;26;False
2022-08-14;1;0;5;76;26;False
2022-08-21;1;0;5;75;22;False
2022-08-28;0;0;5;65;25;False
2022-09-04;0;0;5;60;27;False
2022-09-11;1;0;3;57;23;False
2022-09-18;2;0;5;100;22;False
2022-09-25;1;0;4;51;23;False
2022-10-02;1;0;4;48;22;False
2022-10-09;0;0;4;67;21;False
2022-10-16;1;0;3;52;19;False
2022-10-23;1;0;4;47;18;False
2022-10-30;1;0;6;43;18;False
2022-11-06;0;0;4;44;20;False
2022-11-13;1;0;3;44;17;False
2022-11-20;1;0;5;40;21;False
2022-11-27;0;0;5;45;20;False
2022-12-04;1;0;3;47;17;False
2022-12-11;1;0;3;42;18;False
2022-12-18;1;0;4;49;17;False
2022-12-25;1;1;7;42;22;False
2023-01-01;1;0;9;81;26;False
2023-01-08;2;0;8;55;24;False
2023-01-15;1;0;7;55;23;False
2023-01-22;1;0;6;51;21;False
2023-01-29;1;0;7;48;23;False
