date;Brighton & Hove Albion Women;Books;cinema;Art;air travel;isPartial
2022-01-02;0;67;77;65;1;False
2022-01-09;0;61;63;71;2;False
2022-01-16;0;57;61;66;1;False
2022-01-23;0;56;67;71;1;False
2022-01-30;0;62;74;71;1;False
2022-02-06;0;57;76;69;1;False
2022-02-13;0;55;95;67;1;False
2022-02-20;0;56;82;71;1;False
2022-02-27;0;69;70;66;1;False
2022-03-06;0;57;66;68;1;False
2022-03-13;0;54;59;65;1;False
2022-03-20;0;52;49;67;1;False
2022-03-27;0;54;56;65;1;False
2022-04-03;0;55;72;62;1;False
2022-04-10;0;47;79;57;1;False
2022-04-17;0;47;59;58;1;False
2022-04-24;0;52;54;63;1;False
2022-05-01;0;54;80;64;1;False
2022-05-08;0;52;58;64;1;False
2022-05-15;0;52;61;63;1;False
2022-05-22;0;49;68;60;1;False
2022-05-29;0;46;100;56;1;False
2022-06-05;0;52;78;59;1;False
2022-06-12;0;52;72;57;1;False
2022-06-19;0;52;71;59;1;False
2022-06-26;0;49;83;66;1;False
2022-07-03;0;51;84;56;1;False
2022-07-10;0;52;69;54;1;False
2022-07-17;0;51;74;52;1;False
2022-07-24;0;53;85;56;1;False
2022-07-31;0;50;74;54;1;False
2022-08-07;0;52;63;55;1;False
2022-08-14;0;52;68;55;1;False
2022-08-21;0;54;69;55;1;False
2022-08-28;0;56;80;59;1;False
2022-09-04;0;54;54;61;1;False
2022-09-11;0;57;54;66;1;False
2022-09-18;0;57;58;70;1;False
2022-09-25;0;53;67;65;1;False
2022-10-02;0;54;64;68;1;False
2022-10-09;0;60;67;65;1;False
2022-10-16;0;56;76;65;1;False
2022-10-23;0;56;86;64;1;False
2022-10-30;0;54;61;62;1;False
2022-11-06;0;65;65;69;1;False
2022-11-13;0;61;60;66;1;False
2022-11-20;0;58;54;60;1;False
2022-11-27;0;66;53;65;1;False
2022-12-04;0;63;45;64;1;False
2022-12-11;0;61;58;57;1;False
2022-12-18;0;59;74;52;1;False
2022-12-25;0;55;92;57;1;False
2023-01-01;0;61;79;69;1;False
2023-01-08;0;56;79;65;1;False
2023-01-15;0;56;65;71;1;False
2023-01-22;0;56;67;69;1;False
2023-01-29;0;58;68;68;1;False
