date;cancer;Armenia;Bill Bryson;ryanair;air travel;isPartial
2022-01-02;74;1;0;31;2;False
2022-01-09;70;1;0;30;2;False
2022-01-16;69;1;0;28;2;False
2022-01-23;72;1;0;32;2;False
2022-01-30;75;1;0;39;2;False
2022-02-06;72;1;0;38;2;False
2022-02-13;77;1;0;41;2;False
2022-02-20;75;1;0;41;2;False
2022-02-27;70;2;0;37;2;False
2022-03-06;77;1;0;42;2;False
2022-03-13;66;2;0;40;2;False
2022-03-20;71;2;0;50;2;False
2022-03-27;73;2;0;46;2;False
2022-04-03;0;1;0;50;2;False
2022-04-10;69;1;0;45;2;False
2022-04-17;69;1;0;45;2;False
2022-04-24;73;1;0;46;2;False
2022-05-01;75;1;0;51;2;False
2022-05-08;0;4;0;49;2;False
2022-05-15;79;2;0;50;2;False
2022-05-22;80;1;0;45;2;False
2022-05-29;0;2;0;48;2;False
2022-06-05;81;14;0;50;2;False
2022-06-12;75;8;0;51;2;False
2022-06-19;71;1;0;54;2;False
2022-06-26;100;1;0;54;2;False
2022-07-03;69;1;0;57;2;False
2022-07-10;73;1;0;55;2;False
2022-07-17;72;1;0;49;2;False
2022-07-24;69;1;0;50;2;False
2022-07-31;67;1;0;47;2;False
2022-08-07;75;1;0;47;2;False
2022-08-14;66;1;0;39;2;False
2022-08-21;65;1;0;43;1;False
2022-08-28;0;1;0;41;2;False
2022-09-04;81;1;0;40;2;False
2022-09-11;74;5;0;43;1;False
2022-09-18;66;3;0;37;1;False
2022-09-25;70;2;0;37;1;False
2022-10-02;73;1;0;37;1;False
2022-10-09;71;1;0;36;1;False
2022-10-16;69;1;0;37;1;False
2022-10-23;70;1;0;30;1;False
2022-10-30;78;1;0;32;1;False
2022-11-06;82;1;0;33;1;False
2022-11-13;79;1;0;28;1;False
2022-11-20;70;1;0;28;1;False
2022-11-27;76;2;0;27;1;False
2022-12-04;68;1;0;25;1;False
2022-12-11;68;1;0;30;1;False
2022-12-18;69;1;0;30;1;False
2022-12-25;61;1;0;33;1;False
2023-01-01;78;1;0;45;2;False
2023-01-08;0;1;0;44;2;False
2023-01-15;0;1;0;40;1;False
2023-01-22;80;1;0;43;1;False
2023-01-29;84;1;0;40;1;False
