date;Emmanuel Macron;Dallas;Tornadoes;Ben Wallace;air travel;isPartial
2022-01-02;2;28;1;0;8;False
2022-01-09;1;24;2;0;9;False
2022-01-16;1;28;1;1;7;False
2022-01-23;1;23;1;1;7;False
2022-01-30;1;22;1;2;8;False
2022-02-06;2;19;1;3;8;False
2022-02-13;1;20;3;4;9;False
2022-02-20;2;20;3;7;9;False
2022-02-27;2;19;1;6;8;False
2022-03-06;1;18;2;4;8;False
2022-03-13;1;20;1;4;8;False
2022-03-20;1;19;1;3;8;False
2022-03-27;1;19;1;1;8;False
2022-04-03;2;19;1;1;8;False
2022-04-10;4;21;1;2;7;False
2022-04-17;4;19;1;2;7;False
2022-04-24;12;22;1;4;7;False
2022-05-01;1;28;2;2;8;False
2022-05-08;1;26;1;2;8;False
2022-05-15;1;23;4;1;8;False
2022-05-22;0;23;1;1;8;False
2022-05-29;1;22;1;3;8;False
2022-06-05;1;27;1;5;9;False
2022-06-12;1;22;1;1;8;False
2022-06-19;2;20;1;1;7;False
2022-06-26;1;19;1;2;8;False
2022-07-03;0;22;1;100;8;False
2022-07-10;1;22;1;10;8;False
2022-07-17;0;21;1;2;8;False
2022-07-24;1;23;1;2;8;False
2022-07-31;1;21;1;1;7;False
2022-08-07;1;20;1;1;7;False
2022-08-14;0;21;1;1;7;False
2022-08-21;2;21;1;1;6;False
2022-08-28;1;19;1;1;7;False
2022-09-04;2;19;2;4;7;False
2022-09-11;1;23;1;2;6;False
2022-09-18;6;22;1;1;6;False
2022-09-25;1;23;2;1;6;False
2022-10-02;1;20;1;1;6;False
2022-10-09;1;20;1;3;6;False
2022-10-16;1;22;1;25;5;False
2022-10-23;1;23;1;5;5;False
2022-10-30;0;21;1;1;5;False
2022-11-06;1;25;1;1;5;False
2022-11-13;1;48;1;1;4;False
2022-11-20;0;20;1;1;6;False
2022-11-27;1;25;1;1;5;False
2022-12-04;1;21;1;1;5;False
2022-12-11;1;21;1;1;5;False
2022-12-18;5;25;1;1;4;False
2022-12-25;1;28;1;2;6;False
2023-01-01;1;24;1;1;7;False
2023-01-08;1;24;1;1;6;False
2023-01-15;1;25;1;1;6;False
2023-01-22;0;26;1;1;6;False
2023-01-29;1;23;1;1;6;False
