date;Rugby union;Theranos;Alexander Lukashenko;coleen rooney;air travel;isPartial
2022-01-02;28;30;0;3;17;False
2022-01-09;33;5;0;2;20;False
2022-01-16;30;3;0;2;15;False
2022-01-23;31;2;0;2;16;False
2022-01-30;57;2;0;4;19;False
2022-02-06;50;4;0;29;19;False
2022-02-13;39;2;1;16;19;False
2022-02-20;48;2;2;6;19;False
2022-02-27;34;6;5;3;17;False
2022-03-06;50;10;1;5;18;False
2022-03-13;52;12;1;2;17;False
2022-03-20;27;11;0;2;17;False
2022-03-27;23;10;0;2;18;False
2022-04-03;25;11;0;3;17;False
2022-04-10;23;11;0;5;14;False
2022-04-17;21;8;0;2;16;False
2022-04-24;26;7;0;5;16;False
2022-05-01;23;5;0;3;17;False
2022-05-08;19;3;0;56;17;False
2022-05-15;22;3;0;56;18;False
2022-05-22;20;3;0;19;17;False
2022-05-29;19;3;0;12;17;False
2022-06-05;18;3;0;6;19;False
2022-06-12;22;3;0;7;17;False
2022-06-19;19;2;0;11;16;False
2022-06-26;37;2;0;7;17;False
2022-07-03;38;3;0;5;18;False
2022-07-10;49;3;0;7;18;False
2022-07-17;19;3;0;3;18;False
2022-07-24;12;2;0;45;17;False
2022-07-31;14;2;0;17;16;False
2022-08-07;16;2;0;4;15;False
2022-08-14;16;2;0;2;15;False
2022-08-21;17;1;0;9;13;False
2022-08-28;17;2;0;3;14;False
2022-09-04;24;3;0;4;15;False
2022-09-11;27;3;0;1;13;False
2022-09-18;28;4;0;3;13;False
2022-09-25;28;3;0;1;13;False
2022-10-02;29;2;1;5;13;False
2022-10-09;50;2;1;3;12;False
2022-10-16;53;6;0;2;11;False
2022-10-23;53;2;0;3;10;False
2022-10-30;76;2;0;2;10;False
2022-11-06;100;9;0;2;11;False
2022-11-13;82;23;0;2;10;False
2022-11-20;54;11;0;2;12;False
2022-11-27;34;3;0;3;12;False
2022-12-04;26;3;0;4;10;False
2022-12-11;24;3;0;6;10;False
2022-12-18;25;2;0;25;10;False
2022-12-25;25;3;0;10;13;False
2023-01-01;25;3;0;8;15;False
2023-01-08;26;3;0;4;14;False
2023-01-15;30;10;0;5;13;False
2023-01-22;29;4;0;4;12;False
2023-01-29;57;1;1;2;13;False
