date;Amazon;Sky;Stephen Fry;ashley dale;air travel;isPartial
2022-01-02;85;48;0;0;0;False
2022-01-09;0;48;0;0;0;False
2022-01-16;0;46;0;0;0;False
2022-01-23;0;44;0;0;0;False
2022-01-30;0;51;0;0;0;False
2022-02-06;0;42;0;0;0;False
2022-02-13;0;47;0;0;0;False
2022-02-20;0;56;0;0;0;False
2022-02-27;0;59;0;0;0;False
2022-03-06;0;49;0;0;0;False
2022-03-13;0;53;0;0;0;False
2022-03-20;0;41;0;0;0;False
2022-03-27;0;41;0;0;0;False
2022-04-03;0;45;0;0;0;False
2022-04-10;0;44;0;0;0;False
2022-04-17;0;44;0;0;0;False
2022-04-24;0;41;0;0;0;False
2022-05-01;0;44;0;0;0;False
2022-05-08;0;42;0;0;0;False
2022-05-15;0;43;0;0;0;False
2022-05-22;0;41;0;0;0;False
2022-05-29;0;42;0;0;0;False
2022-06-05;0;43;0;0;0;False
2022-06-12;0;43;0;0;0;False
2022-06-19;0;39;0;0;0;False
2022-06-26;0;41;0;0;0;False
2022-07-03;0;47;0;0;0;False
2022-07-10;0;44;0;0;0;False
2022-07-17;0;44;0;0;0;False
2022-07-24;0;47;0;0;0;False
2022-07-31;0;46;0;0;0;False
2022-08-07;0;45;0;0;0;False
2022-08-14;0;44;0;0;0;False
2022-08-21;0;43;0;0;0;False
2022-08-28;0;49;0;0;0;False
2022-09-04;0;52;0;0;0;False
2022-09-11;0;45;0;0;0;False
2022-09-18;0;43;0;0;0;False
2022-09-25;0;41;0;0;0;False
2022-10-02;0;44;0;0;0;False
2022-10-09;0;44;0;0;0;False
2022-10-16;0;51;0;0;0;False
2022-10-23;0;47;0;0;0;False
2022-10-30;0;43;0;0;0;False
2022-11-06;0;46;0;0;0;False
2022-11-13;0;46;0;0;0;False
2022-11-20;0;40;0;0;0;False
2022-11-27;0;38;0;0;0;False
2022-12-04;100;38;0;0;0;False
2022-12-11;0;35;0;0;0;False
2022-12-18;95;38;0;0;0;False
2022-12-25;86;46;0;0;0;False
2023-01-01;0;43;0;0;0;False
2023-01-08;0;42;0;0;0;False
2023-01-15;0;44;0;0;0;False
2023-01-22;0;43;0;0;0;False
2023-01-29;76;46;0;0;0;False
