date;insulate britain;Home Office;Adobe;Greta Garbo;air travel;isPartial
2022-01-02;2;48;70;1;12;False
2022-01-09;2;48;80;1;13;False
2022-01-16;2;42;79;1;10;False
2022-01-23;1;47;89;1;11;False
2022-01-30;2;45;92;1;12;False
2022-02-06;2;40;83;1;12;False
2022-02-13;1;40;89;1;13;False
2022-02-20;1;40;83;1;13;False
2022-02-27;1;39;81;1;11;False
2022-03-06;1;41;88;1;12;False
2022-03-13;1;40;92;1;12;False
2022-03-20;1;38;80;0;11;False
2022-03-27;2;37;88;0;12;False
2022-04-03;1;36;92;0;11;False
2022-04-10;2;37;74;0;10;False
2022-04-17;1;37;69;1;11;False
2022-04-24;1;36;84;1;11;False
2022-05-01;4;38;87;1;11;False
2022-05-08;1;38;97;0;12;False
2022-05-15;1;38;93;0;12;False
2022-05-22;0;38;84;1;11;False
2022-05-29;1;36;61;0;12;False
2022-06-05;0;39;85;0;13;False
2022-06-12;0;38;80;1;11;False
2022-06-19;1;38;84;1;11;False
2022-06-26;0;38;86;1;11;False
2022-07-03;1;39;76;1;12;False
2022-07-10;0;39;78;1;12;False
2022-07-17;0;39;73;0;12;False
2022-07-24;0;38;74;0;12;False
2022-07-31;0;37;68;1;11;False
2022-08-07;0;38;71;1;10;False
2022-08-14;0;35;67;1;10;False
2022-08-21;1;36;74;1;9;False
2022-08-28;0;37;68;1;10;False
2022-09-04;1;41;78;1;10;False
2022-09-11;0;39;94;0;9;False
2022-09-18;0;35;82;1;9;False
2022-09-25;0;39;95;0;9;False
2022-10-02;1;42;91;0;9;False
2022-10-09;1;39;100;1;8;False
2022-10-16;1;40;97;1;7;False
2022-10-23;0;39;88;1;7;False
2022-10-30;0;41;83;1;7;False
2022-11-06;1;40;92;1;8;False
2022-11-13;1;38;95;0;6;False
2022-11-20;0;36;88;0;8;False
2022-11-27;0;36;97;0;8;False
2022-12-04;1;36;90;0;7;False
2022-12-11;0;36;74;0;7;False
2022-12-18;1;33;61;1;6;False
2022-12-25;0;31;42;0;9;False
2023-01-01;0;38;72;1;10;False
2023-01-08;0;41;85;1;9;False
2023-01-15;0;42;97;0;9;False
2023-01-22;0;42;89;0;8;False
2023-01-29;0;42;99;0;9;False
