date;rainforest;Carbon capture and storage (CCS);Daily Mail;Northern Irish politics;air travel;isPartial
2022-01-02;1;0;79;0;1;False
2022-01-09;2;0;83;0;1;False
2022-01-16;2;0;75;0;1;False
2022-01-23;2;0;79;0;1;False
2022-01-30;2;0;82;0;1;False
2022-02-06;2;0;73;0;1;False
2022-02-13;1;0;74;0;1;False
2022-02-20;1;0;83;0;1;False
2022-02-27;2;0;84;0;1;False
2022-03-06;2;0;81;0;1;False
2022-03-13;2;0;79;0;1;False
2022-03-20;2;0;78;0;1;False
2022-03-27;2;0;71;0;1;False
2022-04-03;1;0;70;0;1;False
2022-04-10;1;0;76;0;1;False
2022-04-17;1;0;73;0;1;False
2022-04-24;1;0;73;0;1;False
2022-05-01;2;0;73;0;1;False
2022-05-08;2;0;76;0;1;False
2022-05-15;2;0;77;0;1;False
2022-05-22;2;0;77;0;1;False
2022-05-29;1;0;83;0;1;False
2022-06-05;2;0;84;0;1;False
2022-06-12;2;0;67;0;1;False
2022-06-19;2;0;73;0;1;False
2022-06-26;1;0;76;0;1;False
2022-07-03;1;0;87;0;1;False
2022-07-10;1;0;86;0;1;False
2022-07-17;1;0;82;0;1;False
2022-07-24;1;0;83;0;1;False
2022-07-31;1;0;81;0;1;False
2022-08-07;1;0;88;0;1;False
2022-08-14;1;0;73;0;1;False
2022-08-21;1;0;83;0;0;False
2022-08-28;1;0;72;0;1;False
2022-09-04;1;0;100;0;1;False
2022-09-11;1;0;88;0;1;False
2022-09-18;1;0;88;0;1;False
2022-09-25;1;0;81;0;1;False
2022-10-02;1;0;82;0;0;False
2022-10-09;1;0;78;0;0;False
2022-10-16;1;0;83;0;0;False
2022-10-23;1;0;80;0;0;False
2022-10-30;1;0;76;0;0;False
2022-11-06;1;0;81;0;0;False
2022-11-13;1;0;75;0;0;False
2022-11-20;1;0;76;0;0;False
2022-11-27;1;0;75;0;0;False
2022-12-04;1;0;79;0;0;False
2022-12-11;1;0;85;0;0;False
2022-12-18;1;0;88;0;0;False
2022-12-25;1;0;80;0;0;False
2023-01-01;1;0;82;0;1;False
2023-01-08;1;0;84;0;1;False
2023-01-15;2;0;80;0;1;False
2023-01-22;2;0;76;0;0;False
2023-01-29;2;0;89;0;1;False
