date;Phoebe Waller-Bridge;vladimir putin;Fearne Cotton;Snakes;air travel;isPartial
2022-01-02;1;1;2;12;5;False
2022-01-09;1;1;2;11;6;False
2022-01-16;1;2;4;11;5;False
2022-01-23;1;5;4;13;5;False
2022-01-30;1;4;2;12;6;False
2022-02-06;0;4;2;12;6;False
2022-02-13;1;7;1;13;6;False
2022-02-20;1;98;1;13;6;False
2022-02-27;1;100;1;10;5;False
2022-03-06;1;64;1;12;5;False
2022-03-13;1;19;1;12;5;False
2022-03-20;1;21;2;11;5;False
2022-03-27;1;12;1;11;5;False
2022-04-03;1;9;2;12;5;False
2022-04-10;1;10;1;13;4;False
2022-04-17;1;6;1;12;5;False
2022-04-24;1;10;1;13;5;False
2022-05-01;1;12;2;13;5;False
2022-05-08;1;9;3;13;5;False
2022-05-15;1;7;3;13;5;False
2022-05-22;0;5;1;12;5;False
2022-05-29;1;10;1;14;5;False
2022-06-05;1;5;3;17;6;False
2022-06-12;1;3;1;13;5;False
2022-06-19;1;3;2;14;5;False
2022-06-26;1;6;4;13;5;False
2022-07-03;1;3;2;14;5;False
2022-07-10;1;3;2;14;6;False
2022-07-17;1;3;2;13;5;False
2022-07-24;1;3;1;12;5;False
2022-07-31;1;3;2;13;5;False
2022-08-07;1;1;1;13;5;False
2022-08-14;1;1;1;14;5;False
2022-08-21;1;3;1;16;4;False
2022-08-28;1;3;1;12;4;False
2022-09-04;1;11;1;11;5;False
2022-09-11;1;6;1;11;4;False
2022-09-18;1;10;1;11;4;False
2022-09-25;1;6;1;10;4;False
2022-10-02;1;7;2;11;4;False
2022-10-09;1;6;2;11;4;False
2022-10-16;1;4;2;11;3;False
2022-10-23;1;3;1;11;3;False
2022-10-30;1;4;1;9;3;False
2022-11-06;1;3;1;15;3;False
2022-11-13;1;3;1;12;3;False
2022-11-20;1;4;1;10;4;False
2022-11-27;1;4;1;10;4;False
2022-12-04;1;4;1;9;3;False
2022-12-11;1;2;1;10;3;False
2022-12-18;1;5;1;10;3;False
2022-12-25;1;4;1;12;4;False
2023-01-01;1;3;2;11;5;False
2023-01-08;1;2;1;11;4;False
2023-01-15;1;6;1;11;4;False
2023-01-22;1;4;3;12;4;False
2023-01-29;1;4;3;12;4;False
