date;Africa holidays;Sheffield United;Australian Broadcasting Corporation;Sony;air travel;isPartial
2023-01-01;2;9;0;40;2;False
2023-01-02;1;34;0;42;3;False
2023-01-03;1;11;0;39;2;False
2023-01-04;1;7;0;41;3;False
2023-01-05;0;7;0;41;2;False
2023-01-06;1;7;0;37;2;False
2023-01-07;1;25;0;39;2;False
2023-01-08;1;12;0;39;2;False
2023-01-09;1;7;0;38;1;False
2023-01-10;1;8;0;35;2;False
2023-01-11;1;6;0;34;3;False
2023-01-12;1;7;0;39;2;False
2023-01-13;1;8;0;35;2;False
2023-01-14;0;29;1;42;2;False
2023-01-15;1;9;0;45;2;False
2023-01-16;0;7;0;39;2;False
2023-01-17;0;7;0;31;2;False
2023-01-18;0;7;0;35;2;False
2023-01-19;1;8;0;33;2;False
2023-01-20;1;34;0;32;2;False
2023-01-21;1;16;0;40;2;False
2023-01-22;1;9;0;38;2;False
2023-01-23;1;8;0;31;2;False
2023-01-24;1;7;0;36;2;False
2023-01-25;0;7;0;29;2;False
2023-01-26;0;8;0;30;2;False
2023-01-27;1;9;0;29;1;False
2023-01-28;1;13;0;33;2;False
2023-01-29;1;100;0;37;2;False
2023-01-30;1;27;0;32;3;False
2023-01-31;0;21;0;35;2;False
