date;Salman Rushdie;bradford;Haute couture shows;north korea;air travel;isPartial
2022-01-02;0;82;0;5;3;False
2022-01-09;0;68;0;4;3;False
2022-01-16;0;70;0;4;3;False
2022-01-23;0;74;0;4;3;False
2022-01-30;0;82;0;4;3;False
2022-02-06;0;73;0;4;3;False
2022-02-13;0;87;0;4;3;False
2022-02-20;0;88;0;9;3;False
2022-02-27;0;76;0;10;3;False
2022-03-06;0;74;0;5;3;False
2022-03-13;0;76;0;4;3;False
2022-03-20;0;77;0;6;3;False
2022-03-27;0;79;0;4;3;False
2022-04-03;0;78;0;3;3;False
2022-04-10;0;79;0;3;3;False
2022-04-17;0;75;0;3;3;False
2022-04-24;0;83;0;3;3;False
2022-05-01;0;97;0;3;3;False
2022-05-08;0;87;0;5;3;False
2022-05-15;0;89;0;5;3;False
2022-05-22;0;85;0;3;3;False
2022-05-29;0;100;0;3;3;False
2022-06-05;0;88;0;3;3;False
2022-06-12;0;92;0;3;3;False
2022-06-19;0;91;0;3;3;False
2022-06-26;0;86;0;3;3;False
2022-07-03;0;86;0;2;3;False
2022-07-10;0;87;0;4;3;False
2022-07-17;0;93;0;2;3;False
2022-07-24;0;94;0;4;3;False
2022-07-31;0;81;0;4;3;False
2022-08-07;76;94;0;4;3;False
2022-08-14;27;87;0;3;3;False
2022-08-21;2;82;0;3;2;False
2022-08-28;2;91;0;2;3;False
2022-09-04;2;84;0;4;3;False
2022-09-11;1;88;0;4;2;False
2022-09-18;1;80;0;4;2;False
2022-09-25;1;89;0;3;2;False
2022-10-02;1;86;0;7;2;False
2022-10-09;1;77;0;4;2;False
2022-10-16;1;75;0;3;2;False
2022-10-23;1;79;0;4;2;False
2022-10-30;0;75;0;7;2;False
2022-11-06;0;83;0;3;2;False
2022-11-13;0;78;0;6;2;False
2022-11-20;0;68;0;7;2;False
2022-11-27;0;62;0;7;2;False
2022-12-04;0;62;0;7;2;False
2022-12-11;0;74;0;3;2;False
2022-12-18;0;73;0;5;2;False
2022-12-25;0;76;0;5;2;False
2023-01-01;1;78;0;4;3;False
2023-01-08;1;78;0;3;2;False
2023-01-15;0;82;0;3;2;False
2023-01-22;0;81;0;3;2;False
2023-01-29;0;79;0;4;2;False
