date;scotland;Ethiopia;Gaz Coombes;Credit cards;air travel;isPartial
2022-01-02;86;1;0;2;1;False
2022-01-09;76;1;0;2;1;False
2022-01-16;75;1;0;2;1;False
2022-01-23;76;1;0;2;1;False
2022-01-30;100;1;0;0;1;False
2022-02-06;90;1;0;2;1;False
2022-02-13;77;1;0;0;1;False
2022-02-20;87;1;0;2;1;False
2022-02-27;68;1;0;0;1;False
2022-03-06;74;1;0;2;1;False
2022-03-13;79;1;0;2;1;False
2022-03-20;82;1;0;0;1;False
2022-03-27;75;1;0;2;1;False
2022-04-03;65;1;0;2;1;False
2022-04-10;69;1;0;0;1;False
2022-04-17;66;1;0;0;1;False
2022-04-24;68;1;0;0;1;False
2022-05-01;66;1;0;0;1;False
2022-05-08;60;1;0;2;1;False
2022-05-15;61;1;0;0;1;False
2022-05-22;64;1;0;2;1;False
2022-05-29;98;1;0;0;1;False
2022-06-05;82;1;0;0;1;False
2022-06-12;69;1;0;2;1;False
2022-06-19;60;1;0;0;1;False
2022-06-26;63;1;0;0;1;False
2022-07-03;60;1;0;0;1;False
2022-07-10;65;1;0;0;1;False
2022-07-17;63;1;0;0;1;False
2022-07-24;68;1;0;0;1;False
2022-07-31;67;1;0;0;1;False
2022-08-07;66;1;0;3;1;False
2022-08-14;62;1;0;2;1;False
2022-08-21;69;1;0;3;1;False
2022-08-28;69;1;0;2;1;False
2022-09-04;69;1;0;2;1;False
2022-09-11;81;1;0;0;1;False
2022-09-18;94;1;0;0;1;False
2022-09-25;76;1;0;0;1;False
2022-10-02;61;1;0;2;1;False
2022-10-09;63;1;0;2;1;False
2022-10-16;61;1;0;2;1;False
2022-10-23;62;1;0;2;0;False
2022-10-30;56;1;0;0;0;False
2022-11-06;60;1;0;2;1;False
2022-11-13;68;1;0;2;0;False
2022-11-20;52;1;0;2;1;False
2022-11-27;54;1;0;2;1;False
2022-12-04;51;1;0;2;0;False
2022-12-11;63;1;0;2;0;False
2022-12-18;55;1;0;0;0;False
2022-12-25;53;1;0;2;1;False
2023-01-01;57;1;0;0;1;False
2023-01-08;57;1;0;2;1;False
2023-01-15;64;1;1;0;1;False
2023-01-22;63;1;0;3;1;False
2023-01-29;74;1;0;3;1;False
