date;Green economy;RSPB;Children's health;Shipping industry;air travel;isPartial
2022-01-02;0;54;6;0;27;False
2022-01-09;1;56;6;1;30;False
2022-01-16;2;57;5;1;23;False
2022-01-23;1;99;7;1;26;False
2022-01-30;1;100;9;0;29;False
2022-02-06;1;39;15;0;29;False
2022-02-13;1;33;5;1;29;False
2022-02-20;1;32;5;1;30;False
2022-02-27;1;31;5;1;26;False
2022-03-06;2;33;4;1;27;False
2022-03-13;1;37;4;1;27;False
2022-03-20;1;38;4;1;27;False
2022-03-27;1;40;4;0;28;False
2022-04-03;1;41;4;0;26;False
2022-04-10;1;46;3;0;22;False
2022-04-17;2;44;3;1;25;False
2022-04-24;1;46;5;1;26;False
2022-05-01;1;49;3;1;26;False
2022-05-08;1;41;5;0;27;False
2022-05-15;1;44;3;0;28;False
2022-05-22;2;43;3;1;27;False
2022-05-29;1;47;2;0;27;False
2022-06-05;1;46;4;0;30;False
2022-06-12;1;51;3;0;26;False
2022-06-19;0;42;3;0;25;False
2022-06-26;1;37;3;0;26;False
2022-07-03;1;35;1;1;28;False
2022-07-10;1;39;3;0;29;False
2022-07-17;1;36;2;0;27;False
2022-07-24;1;39;2;0;27;False
2022-07-31;1;36;3;0;25;False
2022-08-07;1;36;3;0;24;False
2022-08-14;1;28;2;0;23;False
2022-08-21;1;33;3;0;20;False
2022-08-28;1;36;3;1;22;False
2022-09-04;1;30;3;0;24;False
2022-09-11;2;34;3;0;21;False
2022-09-18;1;34;3;1;20;False
2022-09-25;1;39;3;1;21;False
2022-10-02;1;30;5;1;20;False
2022-10-09;1;34;4;1;19;False
2022-10-16;1;35;5;0;17;False
2022-10-23;2;34;3;1;16;False
2022-10-30;1;31;3;0;16;False
2022-11-06;1;33;4;1;18;False
2022-11-13;1;32;4;1;15;False
2022-11-20;1;31;3;0;19;False
2022-11-27;1;34;3;0;18;False
2022-12-04;1;35;4;1;16;False
2022-12-11;1;35;4;1;16;False
2022-12-18;1;25;2;1;15;False
2022-12-25;0;32;2;0;20;False
2023-01-01;1;35;4;0;23;False
2023-01-08;1;34;4;0;21;False
2023-01-15;1;43;5;0;21;False
2023-01-22;1;79;6;1;19;False
2023-01-29;2;76;10;1;21;False
