date;cruise ships;Second world war;black lives matter;Aleksandar Hemon;air travel;isPartial
2022-01-02;62;34;18;0;87;False
2022-01-09;56;36;24;0;100;False
2022-01-16;48;34;21;2;74;False
2022-01-23;57;51;22;0;82;False
2022-01-30;49;43;23;0;93;False
2022-02-06;49;34;20;0;93;False
2022-02-13;41;38;16;0;94;False
2022-02-20;47;66;23;0;95;False
2022-02-27;40;64;24;0;83;False
2022-03-06;40;60;18;3;88;False
2022-03-13;53;43;25;0;87;False
2022-03-20;48;43;22;0;85;False
2022-03-27;49;35;20;0;90;False
2022-04-03;53;32;22;0;82;False
2022-04-10;52;31;17;0;71;False
2022-04-17;56;35;18;1;79;False
2022-04-24;54;29;21;0;82;False
2022-05-01;72;36;20;0;84;False
2022-05-08;55;35;22;0;87;False
2022-05-15;59;35;25;0;90;False
2022-05-22;56;32;18;0;85;False
2022-05-29;69;36;14;0;87;False
2022-06-05;61;37;19;0;97;False
2022-06-12;72;32;19;0;85;False
2022-06-19;65;29;19;1;79;False
2022-06-26;66;26;16;0;85;False
2022-07-03;66;25;12;0;89;False
2022-07-10;74;23;15;0;92;False
2022-07-17;70;23;10;0;88;False
2022-07-24;75;24;12;0;87;False
2022-07-31;77;28;10;0;78;False
2022-08-07;82;24;12;0;76;False
2022-08-14;75;25;11;0;75;False
2022-08-21;67;26;7;1;65;False
2022-08-28;70;26;8;0;72;False
2022-09-04;60;42;16;0;77;False
2022-09-11;64;34;21;0;67;False
2022-09-18;55;38;17;0;66;False
2022-09-25;56;33;15;0;66;False
2022-10-02;52;33;33;0;63;False
2022-10-09;50;36;35;0;62;False
2022-10-16;60;32;27;0;55;False
2022-10-23;52;33;17;0;52;False
2022-10-30;44;48;15;0;51;False
2022-11-06;49;57;18;0;58;False
2022-11-13;44;48;17;0;48;False
2022-11-20;31;27;18;0;60;False
2022-11-27;36;28;14;0;59;False
2022-12-04;35;25;19;0;50;False
2022-12-11;31;26;17;0;52;False
2022-12-18;42;23;9;0;48;False
2022-12-25;52;28;12;3;64;False
2023-01-01;67;30;15;0;74;False
2023-01-08;71;31;14;0;69;False
2023-01-15;63;32;17;0;67;False
2023-01-22;71;33;13;1;62;False
2023-01-29;67;31;20;0;67;False
