date;ANC (African National Congress);hanif kureishi;Essays;Harriet Harman;air travel;isPartial
2022-01-02;0;0;29;100;40;False
2022-01-09;0;0;28;12;43;False
2022-01-16;0;0;24;5;34;False
2022-01-23;0;1;25;1;37;False
2022-01-30;0;0;22;12;42;False
2022-02-06;0;0;22;0;42;False
2022-02-13;0;0;22;1;42;False
2022-02-20;0;0;25;3;43;False
2022-02-27;0;0;25;4;38;False
2022-03-06;0;0;24;5;40;False
2022-03-13;0;0;25;1;40;False
2022-03-20;0;0;28;1;39;False
2022-03-27;0;0;24;3;41;False
2022-04-03;0;1;23;1;38;False
2022-04-10;0;1;23;1;33;False
2022-04-17;0;0;25;2;36;False
2022-04-24;0;2;29;9;37;False
2022-05-01;0;1;31;1;38;False
2022-05-08;0;2;31;1;40;False
2022-05-15;0;0;30;1;41;False
2022-05-22;0;0;28;2;39;False
2022-05-29;0;1;19;1;40;False
2022-06-05;0;0;23;1;44;False
2022-06-12;0;0;20;3;39;False
2022-06-19;0;0;19;2;36;False
2022-06-26;0;0;15;3;39;False
2022-07-03;0;0;13;2;41;False
2022-07-10;0;1;11;5;42;False
2022-07-17;0;1;12;2;40;False
2022-07-24;0;0;11;2;40;False
2022-07-31;0;1;12;1;36;False
2022-08-07;0;1;11;2;35;False
2022-08-14;0;1;12;1;34;False
2022-08-21;0;3;13;1;30;False
2022-08-28;0;1;13;3;33;False
2022-09-04;0;0;13;33;35;False
2022-09-11;0;0;15;4;31;False
2022-09-18;0;0;16;2;29;False
2022-09-25;0;0;18;1;30;False
2022-10-02;0;0;20;1;29;False
2022-10-09;0;0;21;1;28;False
2022-10-16;0;1;23;4;25;False
2022-10-23;0;1;20;3;24;False
2022-10-30;0;0;25;2;23;False
2022-11-06;0;1;28;2;26;False
2022-11-13;0;0;28;1;22;False
2022-11-20;0;0;21;1;28;False
2022-11-27;0;1;29;2;27;False
2022-12-04;0;0;28;1;23;False
2022-12-11;0;1;25;1;23;False
2022-12-18;0;1;19;0;22;False
2022-12-25;0;0;16;0;29;False
2023-01-01;0;13;28;1;34;False
2023-01-08;0;15;31;1;31;False
2023-01-15;0;7;26;1;30;False
2023-01-22;0;6;26;2;28;False
2023-01-29;0;1;25;1;30;False
