date;Sundance film festival;Running;Katy Hessel;Human rights;air travel;isPartial
2022-01-02;0;88;0;5;3;False
2022-01-09;0;77;0;5;3;False
2022-01-16;0;73;0;5;2;False
2022-01-23;0;71;0;6;2;False
2022-01-30;0;75;0;6;3;False
2022-02-06;0;67;0;5;3;False
2022-02-13;0;84;0;5;3;False
2022-02-20;0;74;0;5;3;False
2022-02-27;0;67;0;6;3;False
2022-03-06;0;64;0;6;3;False
2022-03-13;0;68;0;6;3;False
2022-03-20;0;72;0;6;3;False
2022-03-27;0;65;0;5;3;False
2022-04-03;0;71;0;7;3;False
2022-04-10;0;74;0;5;2;False
2022-04-17;0;69;0;5;2;False
2022-04-24;0;69;0;6;2;False
2022-05-01;0;75;0;6;3;False
2022-05-08;0;79;0;7;3;False
2022-05-15;0;68;0;5;3;False
2022-05-22;0;70;0;4;3;False
2022-05-29;0;90;0;3;3;False
2022-06-05;0;91;0;4;3;False
2022-06-12;0;90;0;8;3;False
2022-06-19;0;100;0;8;2;False
2022-06-26;0;74;0;12;3;False
2022-07-03;0;79;0;4;3;False
2022-07-10;0;81;0;4;3;False
2022-07-17;0;85;0;3;3;False
2022-07-24;0;86;0;3;3;False
2022-07-31;0;76;0;3;2;False
2022-08-07;0;75;0;3;2;False
2022-08-14;0;79;0;3;2;False
2022-08-21;0;80;0;3;2;False
2022-08-28;0;80;0;3;2;False
2022-09-04;0;70;0;4;2;False
2022-09-11;0;85;0;4;2;False
2022-09-18;0;79;0;4;2;False
2022-09-25;0;75;0;4;2;False
2022-10-02;0;81;0;5;2;False
2022-10-09;0;67;0;5;2;False
2022-10-16;0;70;0;5;2;False
2022-10-23;0;69;0;4;2;False
2022-10-30;0;69;0;5;2;False
2022-11-06;0;88;0;6;2;False
2022-11-13;0;72;0;7;1;False
2022-11-20;0;71;0;7;2;False
2022-11-27;0;66;0;6;2;False
2022-12-04;0;66;0;6;2;False
2022-12-11;0;90;0;5;2;False
2022-12-18;0;75;0;3;1;False
2022-12-25;0;94;0;2;2;False
2023-01-01;0;89;0;4;2;False
2023-01-08;0;71;0;5;2;False
2023-01-15;0;77;0;5;2;False
2023-01-22;0;75;0;4;2;False
2023-01-29;0;78;0;5;2;False
