date;Electronic music;Xinjiang;us capitol riots;Twin Peaks;air travel;isPartial
2023-01-01;18;6;0;35;54;False
2023-01-02;10;4;0;33;64;False
2023-01-03;11;8;0;34;42;False
2023-01-04;6;9;0;32;63;False
2023-01-05;8;8;0;25;52;False
2023-01-06;21;6;0;23;52;False
2023-01-07;7;5;4;27;38;False
2023-01-08;7;6;0;33;60;False
2023-01-09;8;0;0;22;35;False
2023-01-10;6;0;0;48;56;False
2023-01-11;23;0;0;14;64;False
2023-01-12;10;4;0;32;53;False
2023-01-13;20;0;4;30;43;False
2023-01-14;7;5;0;39;40;False
2023-01-15;11;3;5;36;47;False
2023-01-16;7;0;12;26;49;False
2023-01-17;11;0;0;32;40;False
2023-01-18;14;6;0;49;57;False
2023-01-19;9;0;0;36;52;False
2023-01-20;13;6;0;28;42;False
2023-01-21;0;9;0;38;45;False
2023-01-22;10;0;6;52;50;False
2023-01-23;8;0;0;22;51;False
2023-01-24;12;12;0;40;39;False
2023-01-25;11;0;0;30;54;False
2023-01-26;15;0;0;29;48;False
2023-01-27;14;5;0;100;33;False
2023-01-28;0;4;0;48;47;False
2023-01-29;10;7;9;32;43;False
2023-01-30;0;6;0;37;71;False
2023-01-31;8;0;0;18;60;False
