date;French food and drink;Sussex;PlayStation 4;Papua New Guinea;air travel;isPartial
2022-01-02;0;64;8;1;5;False
2022-01-09;0;66;6;1;5;False
2022-01-16;0;64;6;1;4;False
2022-01-23;0;64;6;1;5;False
2022-01-30;0;66;5;1;5;False
2022-02-06;0;65;6;1;5;False
2022-02-13;0;64;6;1;5;False
2022-02-20;0;66;5;1;5;False
2022-02-27;0;68;5;1;5;False
2022-03-06;0;67;5;2;5;False
2022-03-13;0;69;4;1;5;False
2022-03-20;0;64;4;2;5;False
2022-03-27;0;67;4;1;5;False
2022-04-03;0;67;5;2;5;False
2022-04-10;0;62;5;2;4;False
2022-04-17;0;69;4;1;5;False
2022-04-24;0;64;4;2;5;False
2022-05-01;0;72;5;1;5;False
2022-05-08;0;68;4;1;5;False
2022-05-15;0;61;4;1;5;False
2022-05-22;0;67;4;1;5;False
2022-05-29;0;68;4;1;5;False
2022-06-05;0;72;4;1;6;False
2022-06-12;0;64;4;1;5;False
2022-06-19;0;68;4;2;4;False
2022-06-26;0;65;4;2;5;False
2022-07-03;0;65;4;1;5;False
2022-07-10;0;67;4;2;5;False
2022-07-17;0;63;4;1;5;False
2022-07-24;0;69;5;2;5;False
2022-07-31;0;68;4;2;4;False
2022-08-07;0;75;5;2;4;False
2022-08-14;0;72;4;1;4;False
2022-08-21;0;74;5;1;4;False
2022-08-28;0;72;5;1;4;False
2022-09-04;0;100;4;1;4;False
2022-09-11;0;78;5;4;4;False
2022-09-18;0;76;5;1;4;False
2022-09-25;0;68;6;1;4;False
2022-10-02;0;66;5;1;4;False
2022-10-09;0;63;5;1;3;False
2022-10-16;0;61;5;2;3;False
2022-10-23;0;60;6;2;3;False
2022-10-30;0;62;6;8;3;False
2022-11-06;0;61;6;4;3;False
2022-11-13;0;59;7;1;3;False
2022-11-20;0;52;8;1;3;False
2022-11-27;0;56;6;1;3;False
2022-12-04;0;55;6;1;3;False
2022-12-11;0;65;6;1;3;False
2022-12-18;0;52;6;1;3;False
2022-12-25;0;45;9;1;4;False
2023-01-01;0;62;5;1;4;False
2023-01-08;0;67;4;1;4;False
2023-01-15;0;67;4;1;4;False
2023-01-22;0;75;5;1;4;False
2023-01-29;0;70;4;1;4;False
