date;Shinzo Abe;Dominic Raab;kim jong un;home office;air travel;isPartial
2022-01-02;0;1;5;35;8;False
2022-01-09;0;4;4;35;9;False
2022-01-16;0;6;4;31;7;False
2022-01-23;0;5;4;34;8;False
2022-01-30;0;5;6;33;9;False
2022-02-06;0;2;3;29;9;False
2022-02-13;0;1;3;29;9;False
2022-02-20;0;1;10;29;9;False
2022-02-27;0;4;8;28;8;False
2022-03-06;0;7;5;30;9;False
2022-03-13;0;2;4;29;8;False
2022-03-20;0;1;8;28;8;False
2022-03-27;0;2;3;27;9;False
2022-04-03;0;1;11;26;8;False
2022-04-10;0;1;4;27;7;False
2022-04-17;0;1;3;27;8;False
2022-04-24;0;2;4;26;8;False
2022-05-01;0;1;2;27;8;False
2022-05-08;0;2;4;28;8;False
2022-05-15;0;2;3;27;9;False
2022-05-22;0;1;2;27;8;False
2022-05-29;0;2;12;26;8;False
2022-06-05;0;4;3;28;9;False
2022-06-12;0;2;2;28;8;False
2022-06-19;0;5;2;28;8;False
2022-06-26;0;14;3;27;8;False
2022-07-03;100;31;2;28;9;False
2022-07-10;16;5;2;28;9;False
2022-07-17;2;3;2;28;9;False
2022-07-24;1;1;4;27;9;False
2022-07-31;1;1;3;27;8;False
2022-08-07;1;1;3;28;7;False
2022-08-14;1;1;3;26;7;False
2022-08-21;1;1;3;26;6;False
2022-08-28;1;1;2;27;7;False
2022-09-04;1;5;3;30;8;False
2022-09-11;1;1;3;28;7;False
2022-09-18;1;1;3;26;6;False
2022-09-25;3;1;2;28;6;False
2022-10-02;1;1;3;30;6;False
2022-10-09;1;1;3;28;6;False
2022-10-16;0;3;3;29;5;False
2022-10-23;0;15;3;29;5;False
2022-10-30;0;1;3;30;5;False
2022-11-06;0;7;3;29;6;False
2022-11-13;1;14;4;27;5;False
2022-11-20;0;5;3;26;6;False
2022-11-27;0;2;6;26;6;False
2022-12-04;0;1;3;26;5;False
2022-12-11;0;3;2;26;5;False
2022-12-18;1;1;3;24;5;False
2022-12-25;0;1;4;23;6;False
2023-01-01;0;1;5;27;7;False
2023-01-08;1;1;3;30;7;False
2023-01-15;1;2;3;31;7;False
2023-01-22;0;4;2;30;6;False
2023-01-29;0;12;2;30;6;False
