date;Nicaragua;Luxury goods sector;Saatchi gallery;David Moyes;air travel;isPartial
2022-01-02;23;0;17;10;70;False
2022-01-09;23;0;17;29;76;False
2022-01-16;23;0;15;18;60;False
2022-01-23;18;0;19;10;66;False
2022-01-30;20;0;31;19;74;False
2022-02-06;20;0;35;41;74;False
2022-02-13;22;0;28;12;75;False
2022-02-20;23;0;23;6;76;False
2022-02-27;30;0;19;15;67;False
2022-03-06;24;0;16;7;70;False
2022-03-13;26;0;19;22;70;False
2022-03-20;22;0;18;9;68;False
2022-03-27;19;0;20;5;72;False
2022-04-03;25;0;21;15;66;False
2022-04-10;20;0;20;36;57;False
2022-04-17;22;0;15;16;64;False
2022-04-24;24;0;12;29;66;False
2022-05-01;25;0;13;64;68;False
2022-05-08;19;0;11;9;70;False
2022-05-15;21;0;8;13;72;False
2022-05-22;19;0;11;9;68;False
2022-05-29;21;0;12;4;70;False
2022-06-05;27;0;27;6;78;False
2022-06-12;26;0;30;1;68;False
2022-06-19;23;0;27;4;63;False
2022-06-26;21;0;28;4;68;False
2022-07-03;27;0;23;6;72;False
2022-07-10;21;0;30;3;74;False
2022-07-17;25;0;32;10;70;False
2022-07-24;16;0;44;13;70;False
2022-07-31;23;0;38;6;63;False
2022-08-07;27;0;35;13;61;False
2022-08-14;21;0;25;27;60;False
2022-08-21;22;0;15;10;52;False
2022-08-28;17;0;12;19;57;False
2022-09-04;15;0;15;17;62;False
2022-09-11;23;0;15;7;54;False
2022-09-18;24;0;11;42;51;False
2022-09-25;44;0;14;11;53;False
2022-10-02;24;0;15;6;51;False
2022-10-09;28;0;19;10;49;False
2022-10-16;18;0;16;14;44;False
2022-10-23;24;0;16;12;41;False
2022-10-30;23;0;14;15;41;False
2022-11-06;33;0;13;43;46;False
2022-11-13;25;0;8;29;39;False
2022-11-20;19;0;16;4;49;False
2022-11-27;24;0;20;4;47;False
2022-12-04;40;0;17;12;40;False
2022-12-11;26;0;19;4;41;False
2022-12-18;20;0;14;5;39;False
2022-12-25;21;0;13;50;51;False
2023-01-01;21;0;17;40;60;False
2023-01-08;27;0;19;21;55;False
2023-01-15;28;0;21;100;54;False
2023-01-22;34;0;15;28;50;False
2023-01-29;29;0;16;26;53;False
