date;Martha Wainwright;Rail industry;beth rigby interviews;Constitutional reform;air travel;isPartial
2023-01-01;0;0;0;0;76;False
2023-01-02;0;0;0;0;90;False
2023-01-03;0;0;0;0;59;False
2023-01-04;0;7;0;10;89;False
2023-01-05;0;0;0;0;73;False
2023-01-06;0;0;0;0;73;False
2023-01-07;0;0;7;6;53;False
2023-01-08;0;0;0;5;84;False
2023-01-09;0;0;5;0;50;False
2023-01-10;0;0;0;0;79;False
2023-01-11;0;0;0;23;90;False
2023-01-12;0;0;20;0;75;False
2023-01-13;0;7;0;0;60;False
2023-01-14;7;0;9;0;56;False
2023-01-15;0;0;0;0;66;False
2023-01-16;0;0;0;0;68;False
2023-01-17;13;0;0;0;56;False
2023-01-18;0;6;0;6;80;False
2023-01-19;0;17;0;15;73;False
2023-01-20;0;5;0;0;59;False
2023-01-21;11;0;22;7;63;False
2023-01-22;34;7;7;0;70;False
2023-01-23;13;5;0;16;72;False
2023-01-24;0;7;0;7;55;False
2023-01-25;0;0;0;9;75;False
2023-01-26;0;11;5;5;68;False
2023-01-27;8;0;0;5;47;False
2023-01-28;11;0;14;0;66;False
2023-01-29;0;0;12;0;60;False
2023-01-30;0;5;9;11;100;False
2023-01-31;0;0;0;0;84;False
