date;Soap opera;Focus;Tennis;Egypt;air travel;isPartial
2022-01-02;0;8;15;6;1;False
2022-01-09;0;10;20;10;1;False
2022-01-16;0;9;25;7;1;False
2022-01-23;0;9;26;10;1;False
2022-01-30;0;9;24;17;1;False
2022-02-06;0;9;13;15;1;False
2022-02-13;0;9;13;6;1;False
2022-02-20;0;9;17;7;1;False
2022-02-27;0;9;12;6;1;False
2022-03-06;0;9;13;6;1;False
2022-03-13;0;9;17;6;1;False
2022-03-20;0;10;17;9;1;False
2022-03-27;0;9;15;11;1;False
2022-04-03;0;8;13;7;1;False
2022-04-10;0;8;15;6;1;False
2022-04-17;0;8;17;6;1;False
2022-04-24;0;9;16;6;1;False
2022-05-01;0;9;20;8;1;False
2022-05-08;0;11;20;7;1;False
2022-05-15;0;9;16;6;1;False
2022-05-22;0;8;24;6;1;False
2022-05-29;0;8;35;5;1;False
2022-06-05;0;9;26;6;1;False
2022-06-12;0;8;41;6;1;False
2022-06-19;0;8;39;5;1;False
2022-06-26;0;9;90;6;1;False
2022-07-03;0;8;100;7;1;False
2022-07-10;0;8;41;5;1;False
2022-07-17;0;8;17;6;1;False
2022-07-24;0;8;16;5;1;False
2022-07-31;0;9;18;5;1;False
2022-08-07;0;9;20;5;1;False
2022-08-14;0;8;18;5;1;False
2022-08-21;0;8;16;5;1;False
2022-08-28;0;8;35;5;1;False
2022-09-04;0;8;31;5;1;False
2022-09-11;0;9;18;5;1;False
2022-09-18;0;8;16;5;1;False
2022-09-25;0;8;13;6;1;False
2022-10-02;0;9;13;5;1;False
2022-10-09;0;9;12;5;1;False
2022-10-16;0;8;12;5;1;False
2022-10-23;0;8;12;6;0;False
2022-10-30;0;8;12;6;0;False
2022-11-06;0;9;12;7;1;False
2022-11-13;0;8;12;7;0;False
2022-11-20;0;8;10;6;1;False
2022-11-27;0;9;9;5;1;False
2022-12-04;0;8;9;5;0;False
2022-12-11;0;8;9;5;0;False
2022-12-18;0;8;9;5;0;False
2022-12-25;0;8;9;6;1;False
2023-01-01;0;9;13;8;1;False
2023-01-08;0;10;12;8;1;False
2023-01-15;0;10;27;8;1;False
2023-01-22;0;10;20;7;1;False
2023-01-29;0;10;14;7;1;False
