date;NBA;HBO;Sinn Féin;Leeds;air travel;isPartial
2022-01-02;11;2;0;72;1;False
2022-01-09;10;2;0;57;1;False
2022-01-16;10;2;0;62;1;False
2022-01-23;11;2;0;59;1;False
2022-01-30;11;2;0;56;1;False
2022-02-06;12;1;0;72;1;False
2022-02-13;10;1;0;56;1;False
2022-02-20;9;1;0;92;1;False
2022-02-27;9;1;0;65;1;False
2022-03-06;10;1;0;61;1;False
2022-03-13;11;1;0;71;1;False
2022-03-20;10;1;0;56;1;False
2022-03-27;10;1;0;56;1;False
2022-04-03;11;1;0;58;1;False
2022-04-10;14;1;0;60;1;False
2022-04-17;18;1;0;57;1;False
2022-04-24;18;1;0;69;1;False
2022-05-01;17;2;0;65;1;False
2022-05-08;18;2;0;78;1;False
2022-05-15;18;2;0;69;1;False
2022-05-22;16;2;0;70;1;False
2022-05-29;13;1;0;64;1;False
2022-06-05;15;1;0;58;1;False
2022-06-12;15;1;0;63;1;False
2022-06-19;8;1;0;63;1;False
2022-06-26;6;1;0;64;1;False
2022-07-03;5;1;0;65;1;False
2022-07-10;5;1;0;70;1;False
2022-07-17;4;1;0;66;1;False
2022-07-24;4;1;0;72;1;False
2022-07-31;3;1;0;74;1;False
2022-08-07;3;1;0;72;1;False
2022-08-14;3;1;0;64;1;False
2022-08-21;3;2;0;100;1;False
2022-08-28;3;1;0;90;1;False
2022-09-04;4;1;0;57;1;False
2022-09-11;4;1;0;57;1;False
2022-09-18;3;1;0;60;1;False
2022-09-25;4;1;0;57;1;False
2022-10-02;7;1;0;66;1;False
2022-10-09;6;1;0;62;1;False
2022-10-16;10;1;0;74;0;False
2022-10-23;11;1;0;73;0;False
2022-10-30;11;1;0;63;0;False
2022-11-06;11;1;0;69;0;False
2022-11-13;9;1;0;54;0;False
2022-11-20;8;1;0;48;1;False
2022-11-27;9;1;0;50;0;False
2022-12-04;8;1;0;54;0;False
2022-12-11;9;1;0;52;0;False
2022-12-18;11;1;0;55;0;False
2022-12-25;14;1;0;66;1;False
2023-01-01;12;1;0;63;1;False
2023-01-08;10;2;0;68;1;False
2023-01-15;11;3;0;66;1;False
2023-01-22;11;2;0;72;1;False
2023-01-29;12;2;0;66;1;False
