date;Luke Donald;New Zealand netball team;Biotechnology industry;Contaminated blood scandal;air travel;isPartial
2022-01-02;3;0;0;0;90;False
2022-01-09;2;1;0;0;98;False
2022-01-16;5;0;0;0;77;False
2022-01-23;3;2;0;0;84;False
2022-01-30;3;0;0;0;95;False
2022-02-06;4;0;0;0;96;False
2022-02-13;1;0;0;0;96;False
2022-02-20;1;0;0;0;98;False
2022-02-27;1;0;1;0;86;False
2022-03-06;1;0;1;0;90;False
2022-03-13;4;0;1;0;90;False
2022-03-20;3;0;1;0;88;False
2022-03-27;1;0;2;2;93;False
2022-04-03;5;0;0;0;85;False
2022-04-10;4;1;2;0;74;False
2022-04-17;4;0;0;0;82;False
2022-04-24;2;0;1;0;84;False
2022-05-01;1;0;1;0;87;False
2022-05-08;3;0;0;0;89;False
2022-05-15;3;0;1;0;93;False
2022-05-22;1;0;1;0;88;False
2022-05-29;4;0;0;0;90;False
2022-06-05;2;0;1;0;100;False
2022-06-12;3;0;2;0;87;False
2022-06-19;6;0;0;3;81;False
2022-06-26;1;0;1;1;87;False
2022-07-03;3;1;0;1;92;False
2022-07-10;7;0;0;0;95;False
2022-07-17;5;0;0;0;91;False
2022-07-24;6;1;1;4;90;False
2022-07-31;14;3;0;1;81;False
2022-08-07;3;2;1;1;78;False
2022-08-14;2;2;0;5;77;False
2022-08-21;2;0;0;0;67;False
2022-08-28;4;0;0;0;74;False
2022-09-04;4;0;0;0;80;False
2022-09-11;3;0;0;1;69;False
2022-09-18;4;0;0;0;66;False
2022-09-25;3;0;0;0;68;False
2022-10-02;4;0;0;1;65;False
2022-10-09;0;0;0;0;63;False
2022-10-16;1;0;0;0;57;False
2022-10-23;3;0;0;0;53;False
2022-10-30;2;0;0;0;53;False
2022-11-06;9;0;0;1;59;False
2022-11-13;7;0;1;0;50;False
2022-11-20;0;0;0;0;62;False
2022-11-27;4;0;0;1;61;False
2022-12-04;3;0;0;0;52;False
2022-12-11;2;0;0;0;53;False
2022-12-18;3;0;0;0;50;False
2022-12-25;3;0;0;0;66;False
2023-01-01;1;0;0;1;77;False
2023-01-08;1;0;0;2;71;False
2023-01-15;5;0;1;0;69;False
2023-01-22;7;0;0;0;64;False
2023-01-29;3;0;0;1;69;False
