date;Australia;Crown Prosecution Service;Invasive species;Hostels;air travel;isPartial
2022-01-02;60;0;0;1;2;False
2022-01-09;60;0;0;1;2;False
2022-01-16;49;0;0;1;1;False
2022-01-23;44;0;0;1;2;False
2022-01-30;43;0;0;1;2;False
2022-02-06;45;0;0;1;2;False
2022-02-13;45;0;0;1;2;False
2022-02-20;50;0;0;1;2;False
2022-02-27;52;0;0;1;2;False
2022-03-06;54;0;0;2;2;False
2022-03-13;49;0;0;2;2;False
2022-03-20;51;0;0;2;2;False
2022-03-27;55;0;0;2;2;False
2022-04-03;63;0;0;2;2;False
2022-04-10;50;0;0;2;1;False
2022-04-17;45;0;0;2;1;False
2022-04-24;43;0;0;2;2;False
2022-05-01;43;0;0;2;2;False
2022-05-08;42;0;0;2;2;False
2022-05-15;40;0;0;2;2;False
2022-05-22;36;0;0;2;2;False
2022-05-29;37;0;0;2;2;False
2022-06-05;43;0;0;2;2;False
2022-06-12;45;0;0;2;2;False
2022-06-19;40;0;0;2;1;False
2022-06-26;50;0;0;2;2;False
2022-07-03;53;0;0;2;2;False
2022-07-10;52;0;0;2;2;False
2022-07-17;41;0;0;2;2;False
2022-07-24;37;0;0;2;2;False
2022-07-31;44;0;0;2;1;False
2022-08-07;46;0;0;2;1;False
2022-08-14;38;0;0;2;1;False
2022-08-21;39;0;0;2;1;False
2022-08-28;45;0;0;2;1;False
2022-09-04;40;0;0;1;1;False
2022-09-11;43;0;0;2;1;False
2022-09-18;48;0;0;2;1;False
2022-09-25;42;0;0;1;1;False
2022-10-02;42;0;0;2;1;False
2022-10-09;56;0;0;1;1;False
2022-10-16;47;0;0;1;1;False
2022-10-23;56;0;0;1;1;False
2022-10-30;46;0;0;1;1;False
2022-11-06;62;0;0;1;1;False
2022-11-13;65;0;0;1;1;False
2022-11-20;100;0;0;1;1;False
2022-11-27;82;0;0;1;1;False
2022-12-04;46;0;0;1;1;False
2022-12-11;43;0;0;1;1;False
2022-12-18;51;0;0;1;1;False
2022-12-25;57;0;0;1;1;False
2023-01-01;62;0;0;2;1;False
2023-01-08;47;0;0;2;1;False
2023-01-15;45;0;0;2;1;False
2023-01-22;51;0;0;2;1;False
2023-01-29;48;0;0;2;1;False
