date;Simon Rattle;just stop oil;Platform games;Nobel peace prize;air travel;isPartial
2022-01-02;0;0;9;3;28;False
2022-01-09;1;0;7;2;32;False
2022-01-16;0;0;6;2;24;False
2022-01-23;0;0;7;3;26;False
2022-01-30;0;0;7;3;30;False
2022-02-06;0;0;5;3;30;False
2022-02-13;0;0;7;3;30;False
2022-02-20;0;1;6;3;30;False
2022-02-27;0;1;6;5;27;False
2022-03-06;1;1;5;4;28;False
2022-03-13;0;13;5;3;28;False
2022-03-20;0;4;4;3;27;False
2022-03-27;0;13;5;4;29;False
2022-04-03;1;12;5;2;27;False
2022-04-10;0;15;7;2;23;False
2022-04-17;1;4;5;2;25;False
2022-04-24;1;6;4;2;26;False
2022-05-01;1;3;6;3;27;False
2022-05-08;1;2;4;2;28;False
2022-05-15;0;2;6;3;29;False
2022-05-22;0;1;5;3;27;False
2022-05-29;1;1;6;2;28;False
2022-06-05;1;1;4;2;31;False
2022-06-12;1;1;7;2;28;False
2022-06-19;1;1;6;4;25;False
2022-06-26;0;2;7;2;27;False
2022-07-03;0;8;6;1;28;False
2022-07-10;1;2;6;1;30;False
2022-07-17;0;9;6;2;28;False
2022-07-24;0;3;7;3;28;False
2022-07-31;0;2;7;2;25;False
2022-08-07;0;1;6;3;24;False
2022-08-14;1;0;4;3;24;False
2022-08-21;2;6;6;1;21;False
2022-08-28;8;2;6;1;23;False
2022-09-04;1;1;5;7;25;False
2022-09-11;1;3;5;2;22;False
2022-09-18;1;2;6;2;21;False
2022-09-25;0;5;6;6;21;False
2022-10-02;0;6;6;10;20;False
2022-10-09;0;31;5;4;20;False
2022-10-16;0;51;4;11;18;False
2022-10-23;0;35;5;7;16;False
2022-10-30;1;24;6;3;16;False
2022-11-06;1;100;5;3;18;False
2022-11-13;1;19;4;3;15;False
2022-11-20;0;7;5;2;19;False
2022-11-27;0;17;5;3;19;False
2022-12-04;1;8;5;3;16;False
2022-12-11;1;6;6;3;16;False
2022-12-18;0;4;8;2;15;False
2022-12-25;1;4;8;2;21;False
2023-01-01;0;3;7;2;24;False
2023-01-08;1;5;6;2;22;False
2023-01-15;1;4;6;3;22;False
2023-01-22;1;3;5;2;20;False
2023-01-29;0;2;5;2;21;False
