date;south yorkshire;game of thrones;Brendon McCullum;Fiji;air travel;isPartial
2022-01-02;11;29;0;6;6;False
2022-01-09;9;29;0;7;7;False
2022-01-16;9;25;0;10;5;False
2022-01-23;10;26;0;6;6;False
2022-01-30;9;29;0;5;6;False
2022-02-06;9;24;0;4;6;False
2022-02-13;10;23;0;5;6;False
2022-02-20;10;23;0;5;7;False
2022-02-27;9;23;0;6;6;False
2022-03-06;9;22;0;7;6;False
2022-03-13;9;24;0;6;6;False
2022-03-20;9;22;0;8;6;False
2022-03-27;8;20;0;7;6;False
2022-04-03;8;21;0;5;6;False
2022-04-10;9;24;0;7;5;False
2022-04-17;9;20;0;6;5;False
2022-04-24;9;18;0;6;6;False
2022-05-01;13;23;0;6;6;False
2022-05-08;9;21;2;6;6;False
2022-05-15;9;22;0;7;6;False
2022-05-22;10;22;0;7;6;False
2022-05-29;8;29;1;7;6;False
2022-06-05;8;23;1;7;7;False
2022-06-12;9;23;2;7;6;False
2022-06-19;9;26;0;8;5;False
2022-06-26;9;25;2;7;6;False
2022-07-03;10;26;1;7;6;False
2022-07-10;10;27;0;7;6;False
2022-07-17;10;28;0;7;6;False
2022-07-24;10;29;0;10;6;False
2022-07-31;10;29;0;10;5;False
2022-08-07;10;31;0;8;5;False
2022-08-14;9;50;0;6;5;False
2022-08-21;11;100;0;7;5;False
2022-08-28;10;85;0;6;5;False
2022-09-04;10;77;0;6;5;False
2022-09-11;9;64;1;7;5;False
2022-09-18;9;58;0;7;4;False
2022-09-25;10;50;0;7;5;False
2022-10-02;9;46;0;14;4;False
2022-10-09;9;49;0;11;4;False
2022-10-16;8;50;0;9;4;False
2022-10-23;9;52;0;9;4;False
2022-10-30;8;42;0;23;4;False
2022-11-06;8;30;0;16;4;False
2022-11-13;8;26;0;7;3;False
2022-11-20;7;25;0;5;4;False
2022-11-27;7;25;0;6;4;False
2022-12-04;7;24;0;5;3;False
2022-12-11;8;25;0;6;4;False
2022-12-18;7;33;1;7;3;False
2022-12-25;7;30;0;7;4;False
2023-01-01;12;29;0;7;5;False
2023-01-08;9;25;0;6;5;False
2023-01-15;9;27;0;7;5;False
2023-01-22;9;26;0;6;4;False
2023-01-29;15;25;0;8;5;False
