date;Flannery O'Connor;olivia newton-john;Lizzo;Brexit;air travel;isPartial
2023-01-01;0;0;13;33;12;False
2023-01-02;0;1;13;58;15;False
2023-01-03;0;1;11;46;10;False
2023-01-04;0;1;11;49;14;False
2023-01-05;0;1;11;50;12;False
2023-01-06;0;2;13;43;12;False
2023-01-07;0;3;16;37;9;False
2023-01-08;0;1;15;39;14;False
2023-01-09;0;1;14;38;8;False
2023-01-10;0;0;17;45;13;False
2023-01-11;0;2;8;45;15;False
2023-01-12;0;0;14;52;12;False
2023-01-13;0;1;12;40;10;False
2023-01-14;0;3;12;36;9;False
2023-01-15;0;0;12;31;11;False
2023-01-16;0;0;11;35;11;False
2023-01-17;0;0;10;52;9;False
2023-01-18;0;0;10;46;13;False
2023-01-19;0;0;11;49;12;False
2023-01-20;0;0;11;44;10;False
2023-01-21;0;1;9;31;10;False
2023-01-22;0;0;8;32;11;False
2023-01-23;0;2;10;40;12;False
2023-01-24;0;0;16;42;9;False
2023-01-25;0;0;12;39;12;False
2023-01-26;0;0;13;44;11;False
2023-01-27;0;0;11;44;8;False
2023-01-28;0;0;14;33;11;False
2023-01-29;0;0;14;39;10;False
2023-01-30;0;0;11;54;16;False
2023-01-31;0;1;10;100;14;False
