date;Gaza;Salad;Unicorn theatre;Corruption index and barometer;air travel;isPartial
2023-01-01;2;77;0;0;8;False
2023-01-02;1;100;0;0;9;False
2023-01-03;2;88;0;0;6;False
2023-01-04;1;88;1;0;9;False
2023-01-05;2;88;0;0;7;False
2023-01-06;3;86;0;0;7;False
2023-01-07;1;92;0;0;5;False
2023-01-08;2;99;1;0;8;False
2023-01-09;2;88;0;0;5;False
2023-01-10;2;83;1;0;8;False
2023-01-11;1;84;1;0;9;False
2023-01-12;2;81;1;0;7;False
2023-01-13;1;75;0;0;6;False
2023-01-14;2;84;1;0;6;False
2023-01-15;1;92;0;0;7;False
2023-01-16;2;93;1;0;7;False
2023-01-17;2;74;1;0;6;False
2023-01-18;2;78;1;0;8;False
2023-01-19;1;80;1;0;7;False
2023-01-20;3;84;0;0;6;False
2023-01-21;2;82;0;0;6;False
2023-01-22;1;85;1;0;7;False
2023-01-23;2;86;1;0;7;False
2023-01-24;1;79;1;0;5;False
2023-01-25;1;84;1;0;8;False
2023-01-26;2;78;1;0;7;False
2023-01-27;5;72;0;0;5;False
2023-01-28;5;80;2;0;7;False
2023-01-29;3;84;0;0;6;False
2023-01-30;2;87;0;0;10;False
2023-01-31;2;84;1;0;8;False
