date;Natural History Museum;Jack Thorne;Dallas Cowboys;Piracy;air travel;isPartial
2022-01-02;72;2;14;8;32;False
2022-01-09;63;1;16;6;35;False
2022-01-16;55;2;29;7;28;False
2022-01-23;60;1;7;7;31;False
2022-01-30;87;0;9;6;35;False
2022-02-06;83;1;6;8;35;False
2022-02-13;100;0;8;6;35;False
2022-02-20;92;0;6;5;35;False
2022-02-27;62;0;5;5;31;False
2022-03-06;63;0;6;8;33;False
2022-03-13;65;1;8;8;32;False
2022-03-20;57;4;6;7;32;False
2022-03-27;68;1;4;6;34;False
2022-04-03;78;1;5;5;31;False
2022-04-10;91;1;5;6;27;False
2022-04-17;69;1;4;7;30;False
2022-04-24;56;1;9;5;31;False
2022-05-01;63;6;6;7;31;False
2022-05-08;49;1;6;6;32;False
2022-05-15;52;0;4;6;34;False
2022-05-22;55;1;4;7;32;False
2022-05-29;81;0;5;6;32;False
2022-06-05;48;0;5;7;36;False
2022-06-12;51;1;4;5;32;False
2022-06-19;48;1;5;6;29;False
2022-06-26;52;2;6;5;32;False
2022-07-03;52;0;5;5;33;False
2022-07-10;49;0;5;5;34;False
2022-07-17;59;0;4;5;33;False
2022-07-24;81;0;7;5;33;False
2022-07-31;86;1;5;5;29;False
2022-08-07;79;0;5;6;28;False
2022-08-14;77;1;6;5;28;False
2022-08-21;77;0;8;7;24;False
2022-08-28;69;0;7;5;27;False
2022-09-04;47;0;7;5;29;False
2022-09-11;50;0;15;6;25;False
2022-09-18;48;1;13;7;24;False
2022-09-25;47;1;16;6;25;False
2022-10-02;48;1;15;5;24;False
2022-10-09;56;0;11;5;23;False
2022-10-16;69;0;11;5;21;False
2022-10-23;88;1;12;5;19;False
2022-10-30;56;1;11;5;19;False
2022-11-06;54;1;8;6;21;False
2022-11-13;52;1;13;6;18;False
2022-11-20;51;2;19;6;23;False
2022-11-27;57;5;30;8;22;False
2022-12-04;56;1;14;6;19;False
2022-12-11;44;1;13;5;19;False
2022-12-18;57;1;18;5;18;False
2022-12-25;83;1;22;6;24;False
2023-01-01;67;2;11;7;28;False
2023-01-08;55;1;16;8;26;False
2023-01-15;52;1;24;6;25;False
2023-01-22;60;2;25;6;23;False
2023-01-29;56;0;8;8;25;False
