date;Cheese;lisa marie presley;Swimming;Football politics;air travel;isPartial
2022-01-02;53;0;46;0;1;False
2022-01-09;50;0;50;0;2;False
2022-01-16;46;0;42;0;1;False
2022-01-23;46;0;42;0;1;False
2022-01-30;46;0;49;0;2;False
2022-02-06;48;0;48;0;2;False
2022-02-13;43;0;50;0;2;False
2022-02-20;42;0;53;0;2;False
2022-02-27;41;0;42;0;1;False
2022-03-06;40;0;43;0;2;False
2022-03-13;42;0;43;0;1;False
2022-03-20;42;0;44;0;1;False
2022-03-27;41;0;38;0;2;False
2022-04-03;44;0;48;0;1;False
2022-04-10;44;0;48;0;1;False
2022-04-17;41;0;46;0;1;False
2022-04-24;39;0;43;0;1;False
2022-05-01;39;0;46;0;1;False
2022-05-08;40;0;46;0;1;False
2022-05-15;39;1;46;0;2;False
2022-05-22;37;0;47;0;1;False
2022-05-29;40;0;57;0;1;False
2022-06-05;42;0;49;0;2;False
2022-06-12;40;0;63;0;1;False
2022-06-19;38;1;56;0;1;False
2022-06-26;39;2;45;0;1;False
2022-07-03;41;1;58;0;2;False
2022-07-10;38;1;91;0;2;False
2022-07-17;39;1;90;0;2;False
2022-07-24;41;1;73;0;1;False
2022-07-31;41;1;78;0;1;False
2022-08-07;42;1;100;0;1;False
2022-08-14;40;2;66;0;1;False
2022-08-21;42;1;52;0;1;False
2022-08-28;41;1;52;0;1;False
2022-09-04;42;1;47;0;1;False
2022-09-11;44;0;43;0;1;False
2022-09-18;45;0;38;0;1;False
2022-09-25;43;0;38;0;1;False
2022-10-02;42;0;36;0;1;False
2022-10-09;45;0;34;0;1;False
2022-10-16;44;0;32;0;1;False
2022-10-23;45;0;39;0;1;False
2022-10-30;43;0;30;0;1;False
2022-11-06;45;0;32;0;1;False
2022-11-13;46;0;30;0;1;False
2022-11-20;43;0;26;0;1;False
2022-11-27;48;0;28;0;1;False
2022-12-04;47;0;22;0;1;False
2022-12-11;55;0;19;0;1;False
2022-12-18;78;0;22;0;1;False
2022-12-25;58;0;29;0;1;False
2023-01-01;46;0;42;0;1;False
2023-01-08;45;52;40;0;1;False
2023-01-15;47;10;42;0;1;False
2023-01-22;43;6;39;0;1;False
2023-01-29;47;2;42;0;1;False
