date;Washington state;Edgar Degas;Public finance;Doris Lessing;air travel;isPartial
2022-01-02;22;0;9;4;90;False
2022-01-09;32;2;5;3;98;False
2022-01-16;19;2;5;2;77;False
2022-01-23;25;3;7;0;84;False
2022-01-30;24;2;5;2;95;False
2022-02-06;24;2;4;3;96;False
2022-02-13;19;0;5;3;96;False
2022-02-20;25;2;3;1;98;False
2022-02-27;19;1;6;3;86;False
2022-03-06;24;1;7;2;90;False
2022-03-13;26;0;4;1;90;False
2022-03-20;24;3;5;2;88;False
2022-03-27;21;2;7;2;93;False
2022-04-03;24;3;6;3;85;False
2022-04-10;28;3;3;0;74;False
2022-04-17;22;2;6;1;82;False
2022-04-24;19;2;6;0;84;False
2022-05-01;23;3;5;2;87;False
2022-05-08;17;3;5;3;89;False
2022-05-15;20;1;7;3;93;False
2022-05-22;24;1;4;3;88;False
2022-05-29;22;0;5;1;90;False
2022-06-05;27;1;8;2;100;False
2022-06-12;19;3;6;3;87;False
2022-06-19;23;2;6;1;81;False
2022-06-26;25;2;5;2;87;False
2022-07-03;30;2;7;2;92;False
2022-07-10;23;1;7;1;95;False
2022-07-17;28;3;6;2;91;False
2022-07-24;22;3;5;2;90;False
2022-07-31;25;0;3;0;81;False
2022-08-07;26;1;3;1;78;False
2022-08-14;17;2;7;2;77;False
2022-08-21;19;2;6;1;67;False
2022-08-28;27;2;6;3;74;False
2022-09-04;27;2;6;2;80;False
2022-09-11;28;1;9;1;69;False
2022-09-18;23;3;5;3;66;False
2022-09-25;24;2;5;1;68;False
2022-10-02;20;2;7;2;65;False
2022-10-09;22;3;6;0;63;False
2022-10-16;25;3;9;0;57;False
2022-10-23;21;2;8;2;53;False
2022-10-30;23;4;6;0;53;False
2022-11-06;24;5;4;1;59;False
2022-11-13;21;3;8;2;50;False
2022-11-20;23;2;7;1;62;False
2022-11-27;27;3;8;2;61;False
2022-12-04;23;2;6;1;52;False
2022-12-11;22;5;5;2;53;False
2022-12-18;28;4;3;0;50;False
2022-12-25;32;0;1;0;66;False
2023-01-01;31;2;5;2;77;False
2023-01-08;25;3;7;1;71;False
2023-01-15;25;4;6;1;69;False
2023-01-22;24;1;7;2;64;False
2023-01-29;24;2;7;1;69;False
