date;Catholicism;molly-mae hague;Freddie Mercury;Tea;air travel;isPartial
2023-01-01;0;0;5;39;1;False
2023-01-02;0;0;2;48;1;False
2023-01-03;0;0;1;43;1;False
2023-01-04;0;0;1;38;1;False
2023-01-05;0;0;1;36;1;False
2023-01-06;0;0;1;36;1;False
2023-01-07;0;0;18;41;1;False
2023-01-08;0;0;5;45;1;False
2023-01-09;0;0;2;38;1;False
2023-01-10;0;0;1;37;1;False
2023-01-11;0;0;1;34;1;False
2023-01-12;0;0;1;36;1;False
2023-01-13;0;0;3;37;1;False
2023-01-14;0;0;4;43;1;False
2023-01-15;0;0;3;43;1;False
2023-01-16;0;0;1;39;1;False
2023-01-17;0;0;1;35;1;False
2023-01-18;0;0;1;36;1;False
2023-01-19;0;0;1;34;1;False
2023-01-20;0;0;1;35;1;False
2023-01-21;0;0;2;44;1;False
2023-01-22;0;0;2;43;1;False
2023-01-23;0;0;1;37;1;False
2023-01-24;0;0;1;39;1;False
2023-01-25;0;0;1;36;1;False
2023-01-26;0;0;1;35;1;False
2023-01-27;0;0;1;37;1;False
2023-01-28;0;0;2;44;1;False
2023-01-29;0;0;2;100;1;False
2023-01-30;0;1;1;80;1;False
2023-01-31;0;1;1;43;1;False
