date;The Virgin Suicides;Baking;Accrington Stanley;Gilbert and Sullivan;air travel;isPartial
2023-01-01;0;29;2;1;3;False
2023-01-02;0;32;11;1;4;False
2023-01-03;0;26;2;1;3;False
2023-01-04;0;24;1;0;4;False
2023-01-05;0;25;1;0;3;False
2023-01-06;0;23;1;0;3;False
2023-01-07;0;32;10;0;2;False
2023-01-08;0;36;6;0;4;False
2023-01-09;0;21;2;0;2;False
2023-01-10;0;22;7;0;4;False
2023-01-11;0;22;2;0;4;False
2023-01-12;0;26;2;1;3;False
2023-01-13;0;25;2;0;3;False
2023-01-14;1;28;6;0;3;False
2023-01-15;0;34;3;1;3;False
2023-01-16;0;23;2;2;3;False
2023-01-17;0;22;8;0;3;False
2023-01-18;0;26;3;0;4;False
2023-01-19;0;26;2;0;3;False
2023-01-20;0;27;2;1;3;False
2023-01-21;0;33;7;0;3;False
2023-01-22;0;32;2;0;3;False
2023-01-23;0;27;2;1;3;False
2023-01-24;0;26;24;0;3;False
2023-01-25;0;23;9;1;3;False
2023-01-26;0;24;6;0;3;False
2023-01-27;0;25;9;0;2;False
2023-01-28;0;32;100;0;3;False
2023-01-29;0;38;7;0;3;False
2023-01-30;0;25;3;1;5;False
2023-01-31;0;26;1;1;4;False
