date;Nico;DC Comics;William Byrd;Isle of Man;air travel;isPartial
2023-01-01;45;4;6;47;22;False
2023-01-02;60;5;0;60;26;False
2023-01-03;61;6;0;59;17;False
2023-01-04;54;10;0;52;25;False
2023-01-05;45;11;0;47;21;False
2023-01-06;46;10;0;60;21;False
2023-01-07;54;9;5;48;15;False
2023-01-08;56;52;0;62;24;False
2023-01-09;48;31;2;50;14;False
2023-01-10;46;15;0;58;22;False
2023-01-11;55;4;1;62;25;False
2023-01-12;62;5;0;45;21;False
2023-01-13;62;0;1;53;17;False
2023-01-14;58;6;3;46;16;False
2023-01-15;53;12;2;50;19;False
2023-01-16;100;6;3;54;19;False
2023-01-17;89;3;0;63;16;False
2023-01-18;80;6;0;63;23;False
2023-01-19;71;1;2;49;21;False
2023-01-20;58;6;0;58;17;False
2023-01-21;68;12;0;54;18;False
2023-01-22;79;4;5;55;20;False
2023-01-23;51;5;0;56;20;False
2023-01-24;96;9;0;73;16;False
2023-01-25;60;9;3;49;21;False
2023-01-26;57;7;7;61;19;False
2023-01-27;54;7;3;54;13;False
2023-01-28;56;6;0;59;19;False
2023-01-29;66;8;2;68;17;False
2023-01-30;56;8;2;53;28;False
2023-01-31;60;8;0;62;24;False
