date;knife crime;Lake District;Artificial intelligence (AI);Marathon running;air travel;isPartial
2022-01-02;3;83;1;5;11;False
2022-01-09;4;69;1;4;12;False
2022-01-16;3;61;1;4;9;False
2022-01-23;3;65;2;4;10;False
2022-01-30;3;60;1;4;11;False
2022-02-06;3;61;1;4;11;False
2022-02-13;3;61;0;3;11;False
2022-02-20;2;66;1;3;12;False
2022-02-27;2;53;1;4;10;False
2022-03-06;3;58;1;4;11;False
2022-03-13;3;61;1;4;11;False
2022-03-20;4;71;1;5;10;False
2022-03-27;3;71;1;5;11;False
2022-04-03;3;71;1;5;10;False
2022-04-10;2;83;1;4;9;False
2022-04-17;3;77;1;4;10;False
2022-04-24;3;67;1;4;10;False
2022-05-01;3;76;1;4;10;False
2022-05-08;3;57;1;4;11;False
2022-05-15;3;62;1;4;11;False
2022-05-22;5;64;1;4;10;False
2022-05-29;2;91;0;4;11;False
2022-06-05;3;74;1;3;12;False
2022-06-12;2;69;1;3;10;False
2022-06-19;3;67;1;3;10;False
2022-06-26;2;68;1;3;10;False
2022-07-03;3;73;1;3;11;False
2022-07-10;3;85;1;4;11;False
2022-07-17;2;82;1;3;11;False
2022-07-24;2;97;1;4;11;False
2022-07-31;2;95;1;3;10;False
2022-08-07;2;100;1;4;9;False
2022-08-14;2;88;1;3;9;False
2022-08-21;4;89;1;4;8;False
2022-08-28;2;63;1;4;9;False
2022-09-04;2;55;0;5;9;False
2022-09-11;2;59;1;5;8;False
2022-09-18;3;48;1;6;8;False
2022-09-25;3;48;1;9;8;False
2022-10-02;3;47;1;13;8;False
2022-10-09;3;48;1;5;7;False
2022-10-16;3;48;1;5;7;False
2022-10-23;3;47;1;4;6;False
2022-10-30;3;42;1;4;6;False
2022-11-06;3;42;1;4;7;False
2022-11-13;3;36;1;4;6;False
2022-11-20;3;36;1;3;7;False
2022-11-27;5;35;1;3;7;False
2022-12-04;3;35;1;3;6;False
2022-12-11;2;36;2;2;6;False
2022-12-18;1;40;1;3;6;False
2022-12-25;2;61;1;4;8;False
2023-01-01;2;64;1;5;9;False
2023-01-08;3;52;1;4;8;False
2023-01-15;3;50;2;4;8;False
2023-01-22;3;50;2;4;8;False
2023-01-29;3;53;2;4;8;False
