date;albania;Coronavirus;Makeup;Porridge;air travel;isPartial
2022-01-02;2;100;21;5;1;False
2022-01-09;2;73;20;5;2;False
2022-01-16;2;63;18;5;1;False
2022-01-23;2;59;20;5;1;False
2022-01-30;3;58;20;5;2;False
2022-02-06;2;47;19;5;2;False
2022-02-13;3;38;19;4;2;False
2022-02-20;3;41;21;4;2;False
2022-02-27;3;32;21;4;1;False
2022-03-06;3;31;19;4;1;False
2022-03-13;3;34;19;4;1;False
2022-03-20;4;35;17;4;1;False
2022-03-27;3;28;18;4;1;False
2022-04-03;2;25;18;4;1;False
2022-04-10;3;23;18;4;1;False
2022-04-17;3;17;18;3;1;False
2022-04-24;3;15;17;4;1;False
2022-05-01;3;17;20;4;1;False
2022-05-08;3;14;18;4;1;False
2022-05-15;3;13;17;4;1;False
2022-05-22;4;12;18;4;1;False
2022-05-29;4;9;19;4;1;False
2022-06-05;4;12;19;4;2;False
2022-06-12;3;12;18;4;1;False
2022-06-19;3;12;20;4;1;False
2022-06-26;3;13;19;4;1;False
2022-07-03;3;14;17;3;1;False
2022-07-10;3;14;17;3;2;False
2022-07-17;3;9;17;3;1;False
2022-07-24;3;8;17;3;1;False
2022-07-31;4;8;18;3;1;False
2022-08-07;4;6;16;3;1;False
2022-08-14;4;5;17;3;1;False
2022-08-21;4;6;18;4;1;False
2022-08-28;3;5;18;4;1;False
2022-09-04;3;5;18;4;1;False
2022-09-11;3;5;18;4;1;False
2022-09-18;3;5;17;4;1;False
2022-09-25;3;5;18;5;1;False
2022-10-02;2;6;19;4;1;False
2022-10-09;2;6;21;5;1;False
2022-10-16;2;5;25;4;1;False
2022-10-23;4;5;51;4;1;False
2022-10-30;6;4;37;4;1;False
2022-11-06;4;4;23;4;1;False
2022-11-13;4;4;22;4;1;False
2022-11-20;3;4;23;4;1;False
2022-11-27;5;4;25;4;1;False
2022-12-04;2;3;21;4;1;False
2022-12-11;3;4;23;4;1;False
2022-12-18;3;5;19;5;1;False
2022-12-25;4;5;23;4;1;False
2023-01-01;4;4;20;5;1;False
2023-01-08;4;4;19;5;1;False
2023-01-15;4;3;19;5;1;False
2023-01-22;4;3;19;5;1;False
2023-01-29;4;3;19;5;1;False
