date;Buddhism;Walter Mosley;H&M;A Room with a View;air travel;isPartial
2023-01-01;5;0;84;1;5;False
2023-01-02;3;0;100;0;6;False
2023-01-03;4;0;73;1;4;False
2023-01-04;6;0;84;1;6;False
2023-01-05;5;1;72;1;5;False
2023-01-06;6;0;70;0;5;False
2023-01-07;3;1;78;3;4;False
2023-01-08;7;0;94;1;6;False
2023-01-09;6;0;66;1;3;False
2023-01-10;7;0;67;1;5;False
2023-01-11;5;0;67;0;6;False
2023-01-12;6;0;68;0;5;False
2023-01-13;4;0;72;1;4;False
2023-01-14;4;0;86;0;4;False
2023-01-15;4;0;85;1;5;False
2023-01-16;5;1;66;0;5;False
2023-01-17;5;0;65;1;4;False
2023-01-18;6;0;66;1;5;False
2023-01-19;6;0;67;7;5;False
2023-01-20;5;0;71;2;4;False
2023-01-21;5;0;92;3;4;False
2023-01-22;3;0;95;2;5;False
2023-01-23;6;0;68;1;5;False
2023-01-24;5;0;68;2;4;False
2023-01-25;4;0;67;2;5;False
2023-01-26;5;0;72;1;5;False
2023-01-27;3;0;74;1;3;False
2023-01-28;4;1;91;0;4;False
2023-01-29;5;0;96;1;4;False
2023-01-30;4;0;70;2;7;False
2023-01-31;4;0;72;0;6;False
