date;Ellen DeGeneres;Nick Cave;wisconsin;Rail travel;air travel;isPartial
2022-01-02;6;12;11;7;22;False
2022-01-09;6;6;11;7;25;False
2022-01-16;5;7;9;7;18;False
2022-01-23;6;8;14;9;20;False
2022-01-30;6;6;10;9;23;False
2022-02-06;5;6;9;8;23;False
2022-02-13;6;7;10;15;23;False
2022-02-20;6;6;9;11;24;False
2022-02-27;6;7;9;8;21;False
2022-03-06;5;9;9;8;22;False
2022-03-13;7;6;10;9;22;False
2022-03-20;7;9;10;9;21;False
2022-03-27;6;9;9;8;22;False
2022-04-03;6;8;9;11;20;False
2022-04-10;6;14;9;10;18;False
2022-04-17;5;8;8;11;20;False
2022-04-24;10;7;9;10;20;False
2022-05-01;7;9;10;8;21;False
2022-05-08;8;100;11;10;22;False
2022-05-15;7;10;8;9;22;False
2022-05-22;23;9;9;9;21;False
2022-05-29;12;8;10;9;22;False
2022-06-05;8;10;10;12;24;False
2022-06-12;9;11;16;12;21;False
2022-06-19;5;10;10;13;20;False
2022-06-26;6;9;10;11;21;False
2022-07-03;4;8;10;10;22;False
2022-07-10;4;9;11;12;23;False
2022-07-17;4;12;11;14;22;False
2022-07-24;6;10;12;13;22;False
2022-07-31;7;10;15;13;19;False
2022-08-07;35;11;11;11;19;False
2022-08-14;16;9;9;11;19;False
2022-08-21;7;14;10;11;16;False
2022-08-28;6;24;11;11;18;False
2022-09-04;6;8;12;10;19;False
2022-09-11;4;12;9;10;17;False
2022-09-18;5;20;14;11;16;False
2022-09-25;5;14;14;10;16;False
2022-10-02;3;9;13;12;16;False
2022-10-09;5;9;15;10;15;False
2022-10-16;5;7;19;8;14;False
2022-10-23;7;7;92;10;13;False
2022-10-30;4;9;19;9;13;False
2022-11-06;3;14;22;8;14;False
2022-11-13;5;9;16;8;12;False
2022-11-20;3;7;10;8;15;False
2022-11-27;4;11;13;9;15;False
2022-12-04;3;13;10;9;12;False
2022-12-11;51;7;11;9;13;False
2022-12-18;16;8;18;8;12;False
2022-12-25;10;8;13;6;16;False
2023-01-01;7;7;13;10;18;False
2023-01-08;7;8;12;9;17;False
2023-01-15;5;13;13;9;17;False
2023-01-22;5;8;13;8;15;False
2023-01-29;9;8;12;9;17;False
