date;atlanta;Zoos;Folk dancing;Frances Barber;air travel;isPartial
2022-01-02;61;14;0;1;31;False
2022-01-09;68;15;1;1;35;False
2022-01-16;64;17;0;1;26;False
2022-01-23;62;18;1;1;29;False
2022-01-30;60;20;0;1;33;False
2022-02-06;58;19;1;1;33;False
2022-02-13;66;19;1;1;33;False
2022-02-20;68;18;0;2;33;False
2022-02-27;62;20;0;2;29;False
2022-03-06;63;20;0;1;31;False
2022-03-13;73;22;1;1;31;False
2022-03-20;83;22;0;7;30;False
2022-03-27;84;20;0;2;32;False
2022-04-03;83;24;0;3;29;False
2022-04-10;85;27;0;3;25;False
2022-04-17;74;22;1;1;28;False
2022-04-24;75;20;1;1;29;False
2022-05-01;78;23;0;1;30;False
2022-05-08;76;19;0;1;31;False
2022-05-15;81;18;1;2;32;False
2022-05-22;68;21;1;2;30;False
2022-05-29;72;22;0;2;31;False
2022-06-05;72;21;0;1;34;False
2022-06-12;72;19;1;1;31;False
2022-06-19;71;18;0;1;28;False
2022-06-26;79;18;0;1;30;False
2022-07-03;88;15;0;1;31;False
2022-07-10;88;20;1;3;33;False
2022-07-17;85;18;0;2;31;False
2022-07-24;100;25;0;1;31;False
2022-07-31;81;23;0;2;28;False
2022-08-07;81;21;1;1;27;False
2022-08-14;69;16;0;3;26;False
2022-08-21;75;22;1;4;23;False
2022-08-28;80;23;0;2;25;False
2022-09-04;76;12;0;3;27;False
2022-09-11;83;14;1;1;24;False
2022-09-18;74;11;1;2;23;False
2022-09-25;79;12;0;1;23;False
2022-10-02;78;13;1;1;22;False
2022-10-09;78;13;0;2;22;False
2022-10-16;70;12;0;2;20;False
2022-10-23;72;13;0;4;18;False
2022-10-30;70;10;0;1;18;False
2022-11-06;79;12;0;1;20;False
2022-11-13;69;9;0;1;17;False
2022-11-20;64;8;1;1;21;False
2022-11-27;66;8;0;0;21;False
2022-12-04;65;8;0;0;18;False
2022-12-11;65;7;0;2;18;False
2022-12-18;73;7;0;2;17;False
2022-12-25;75;13;0;2;23;False
2023-01-01;86;13;1;1;26;False
2023-01-08;82;13;1;1;24;False
2023-01-15;80;11;1;2;24;False
2023-01-22;81;14;1;7;22;False
2023-01-29;76;14;0;2;23;False
