date;Los Angeles;Andrew Tate;idaho student murders;George Martin;air travel;isPartial
2023-01-01;9;100;1;1;2;False
2023-01-02;8;72;1;1;2;False
2023-01-03;8;56;1;1;1;False
2023-01-04;7;52;1;1;2;False
2023-01-05;8;42;1;0;2;False
2023-01-06;8;47;1;1;2;False
2023-01-07;8;39;1;0;1;False
2023-01-08;10;48;0;1;2;False
2023-01-09;8;63;0;0;1;False
2023-01-10;10;80;1;0;2;False
2023-01-11;9;55;1;0;2;False
2023-01-12;9;54;1;0;2;False
2023-01-13;7;47;1;0;2;False
2023-01-14;8;46;1;1;1;False
2023-01-15;10;39;0;1;2;False
2023-01-16;7;39;1;1;2;False
2023-01-17;8;37;0;1;1;False
2023-01-18;8;35;0;0;2;False
2023-01-19;7;31;0;1;2;False
2023-01-20;8;51;0;0;1;False
2023-01-21;10;39;0;1;2;False
2023-01-22;13;38;0;1;2;False
2023-01-23;11;31;0;1;2;False
2023-01-24;8;33;0;1;1;False
2023-01-25;8;26;0;1;2;False
2023-01-26;7;32;0;1;2;False
2023-01-27;6;25;0;1;1;False
2023-01-28;7;26;0;1;2;False
2023-01-29;9;22;0;0;2;False
2023-01-30;8;20;0;1;3;False
2023-01-31;9;26;0;1;2;False
