date;Malware;National Union of Journalists;noel edmonds;Women's shoes;air travel;isPartial
2023-01-01;11;0;15;84;27;False
2023-01-02;16;0;4;86;32;False
2023-01-03;19;3;3;72;21;False
2023-01-04;20;0;3;73;32;False
2023-01-05;32;0;4;74;26;False
2023-01-06;25;0;0;73;26;False
2023-01-07;16;0;11;79;19;False
2023-01-08;15;0;5;87;30;False
2023-01-09;15;0;5;60;18;False
2023-01-10;23;0;4;66;28;False
2023-01-11;23;0;3;71;32;False
2023-01-12;30;0;4;72;27;False
2023-01-13;21;0;10;57;21;False
2023-01-14;12;0;9;74;20;False
2023-01-15;12;0;3;81;24;False
2023-01-16;25;2;6;64;24;False
2023-01-17;20;0;3;66;20;False
2023-01-18;28;0;8;63;29;False
2023-01-19;32;8;5;67;26;False
2023-01-20;25;0;31;62;21;False
2023-01-21;16;0;26;82;23;False
2023-01-22;16;0;9;87;25;False
2023-01-23;16;0;9;68;26;False
2023-01-24;27;3;12;58;20;False
2023-01-25;25;0;7;65;27;False
2023-01-26;23;0;4;60;24;False
2023-01-27;18;0;6;63;17;False
2023-01-28;5;0;7;81;24;False
2023-01-29;12;0;7;100;22;False
2023-01-30;33;0;8;82;36;False
2023-01-31;23;0;9;76;30;False
