date;Wieambilla shooting;abba;wales;US weather;air travel;isPartial
2023-01-01;0;14;67;1;2;False
2023-01-02;0;11;72;1;2;False
2023-01-03;0;8;77;1;1;False
2023-01-04;0;8;78;1;2;False
2023-01-05;0;9;74;1;2;False
2023-01-06;0;10;72;1;2;False
2023-01-07;0;11;69;1;1;False
2023-01-08;0;11;75;1;2;False
2023-01-09;0;9;85;1;1;False
2023-01-10;0;7;80;1;2;False
2023-01-11;0;8;83;1;2;False
2023-01-12;0;8;100;1;2;False
2023-01-13;0;11;76;1;1;False
2023-01-14;0;11;72;1;1;False
2023-01-15;0;14;75;1;1;False
2023-01-16;0;9;85;3;1;False
2023-01-17;0;7;88;2;1;False
2023-01-18;0;7;87;2;2;False
2023-01-19;0;7;82;2;2;False
2023-01-20;0;10;76;1;1;False
2023-01-21;0;12;72;1;1;False
2023-01-22;0;12;69;2;1;False
2023-01-23;0;13;84;1;2;False
2023-01-24;0;10;78;1;1;False
2023-01-25;0;11;77;1;2;False
2023-01-26;0;11;76;1;1;False
2023-01-27;0;13;71;1;1;False
2023-01-28;0;18;67;1;1;False
2023-01-29;0;15;77;1;1;False
2023-01-30;0;13;84;1;2;False
2023-01-31;0;13;87;1;2;False
